Home physio exercises,Iron,Women's probiotic,Migraine Diet,Bu Zhong Yi Qi capsules,Prilosec,Vyvanse,Osteopathy,Zoladex,floravit iron,Valdoxan,Physiotherapy,Pantoprazole,Eyebright Complex,aqua therapy,Lithium,Metformin,Magnesium gel,pur-absorb iron,Vitamin d,Nasonex,Prednisone,Creatine,Citalopram,Zofran,Ecural,Soluble Aspirin,Buspirone,Turmeric tea,Physio,Topiramate,DLPA,Pataday,ponstan,Vitamin B complex - 50,Valium,Ferrous sulfate,Paracatamol with codeine,Kirkland Fish Oil,linseed,Ranitidine,Voltaren,Ventolin,Tian Ma Tou Tong - headache,Codeine,Progesterone,Spironolactone,Vitamin B,Migraine herb feverfew tablets,Magnesium,Tranexamic acid,Multivitamin,Ondansetron,Panamax,Standing desk,Mirtazapine,Vitamin C,Pain management,Dr J study,Nortriptyline,Zomig,psychologist,Wei Te Ling - heartburn,Clonazepam,Vitamin a,Nutrasea Fish Oil,Ibuprofen,Methotrexate,Gui Pi Pills,Multi-vitamin,Imodium,row
,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,Home physio exercises
,,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Iron
,0.0,,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Women's probiotic
,0.0,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Migraine Diet
,0.0,0.0,0.0,,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Bu Zhong Yi Qi capsules
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prilosec
,0.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Vyvanse
0.0,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,Osteopathy
,0.0,0.0,0.0,0.0,,0.0,,,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Zoladex
,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,2.0,,2.0,,2.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,2.0,0.0,2.0,2.0,,,2.0,2.0,,0.0,2.0,2.0,,2.0,2.0,,0.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,0.0,2.0,2.0,2.0,2.0,,2.0,,,floravit iron
,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,,2.0,,2.0,,2.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,2.0,0.0,2.0,2.0,,,2.0,2.0,,0.0,2.0,2.0,,2.0,2.0,,0.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,0.0,2.0,2.0,2.0,2.0,,2.0,,,Valdoxan
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Physiotherapy
0.0,,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,Pantoprazole
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Eyebright Complex
0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,aqua therapy
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Lithium
0.0,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,Metformin
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Magnesium gel
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,pur-absorb iron
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Vitamin d
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Nasonex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Creatine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citalopram
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Zofran
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Ecural
,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,2.0,,2.0,2.0,,,2.0,2.0,,0.0,2.0,2.0,,2.0,2.0,,0.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,0.0,2.0,2.0,2.0,2.0,,2.0,,,Soluble Aspirin
