Went to work,adulting,medicated,workflow ,StressedToTheMax!,exhausted,good sleep,underslept,sad,depressed,Emotionally Drained,Bride2Be,SoTired,sober,Body Achess,slept all day,droopyeyed,chores,MedicalProblems,SoldierLife,Pain,LoveNaps,Physically Spent,unfocused,stayed home,calm,SAD light,hard to wake up,moody,frustrated,painful,felt blamed,hard to think,motivated,triggered,very hard to do anything today,gynecologist,JobLife,overslept,StupidAccident,sore,too many things this week,not forgetful,worried,nausea,ImABridesmaid,lost,Physical therapy,saw Chris,did the treatment thing too,Sleepy,priorities,IHurtBad,work,migraine,MOH,LosingMyJob,stressed,NightNightBlues,bad pain day,very sleepy,row
,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,,,Went to work
,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,adulting
,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,medicated
,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,workflow 
,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,StressedToTheMax!
0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,exhausted
,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,good sleep
,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,0.0,,,,2.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,2.0,,2.0,,underslept
,,,,,,,2.0,,,,,,,,,,,,,,,,0.0,2.0,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,sad
,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,depressed
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,Emotionally Drained
,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,0.0,2.0,2.0,,2.0,,2.0,2.0,2.0,0.0,2.0,,,,,,,2.0,2.0,,,2.0,,2.0,,2.0,,0.0,2.0,2.0,,,,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,2.0,,2.0,,2.0,Bride2Be
,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,0.0,,2.0,2.0,,2.0,,2.0,2.0,2.0,0.0,2.0,,,,,,,2.0,2.0,,,2.0,,2.0,,2.0,,0.0,2.0,2.0,,,,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,2.0,,2.0,,2.0,SoTired
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,sober
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,Body Achess
0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,,,slept all day
