Went to work,tannins,cane,family,rheumatology,beef pot pie,forgot meds til evening,Levothyroxine,early night,Excited,Headache,Regular Day,Pain,Saw Adam,symptoms occured late in day,DONE being addicted to food,dr appointment,too much to do,rehearsals,dairy,low,hot flushes,kidney infection,exercise,happy,twitching alot,Slept well,Withdrawal effects,skipped strattera,uti,walked Byron,Recovery ,mourning,Vitamin C,Ate once,slept well,stressful,friends,broccoli,no work,fibromyalgia,sick with cold,work,good sleep,walked,12K Steps,painkillers,Groceries,cinnamon,everything tastes off,saw James R,annoyed,didn't go to class,row
,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,,0.0,Went to work
0.0,,,,,,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,,0.0,tannins
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cane
,,,,,,,,,0.0,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,2.0,0.0,,,,,,,,,family
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatology
,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,0.0,,,0.0,,,,,,,0.0,,,,,beef pot pie
0.0,0.0,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,,0.0,forgot meds til evening
,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,2.0,,,2.0,,,,,,,2.0,,,,,Levothyroxine
0.0,0.0,,,,,0.0,,,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,,0.0,early night
,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,2.0,0.0,,,,,,,,,Excited
,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,,,,,Headache
,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,,,,,Regular Day
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pain
0.0,0.0,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,,0.0,Saw Adam
,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,,,,,symptoms occured late in day
0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,,0.0,DONE being addicted to food
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dr appointment
0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,,0.0,too much to do
0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,,0.0,rehearsals
,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,,,,0.0,2.0,,,,,,,,,dairy
0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,,0.0,low
0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,,0.0,hot flushes
0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,,0.0,kidney infection
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exercise
,,,0.0,,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,0.0,,,,,,,,,happy
