tired,daytime zonk,visited dispensary,good mood,glutened,bad dreams,high activity,bad pump site,fibromyalgia diagnosis,Dr. Wu,hard to think,counselling,Work,not enough sleep,Dr. DeJong,Mom's Day,hard to wake up,scott away,day after glutening,worried,Day after travel,stressed,work from home,decorated a cake,stayed up late,row
,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,tired
0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,daytime zonk
0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,visited dispensary
0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,good mood
0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,glutened
,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,0.0,,0.0,,,,bad dreams
0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,high activity
0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,bad pump site
,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,0.0,,0.0,,,,fibromyalgia diagnosis
,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,,,Dr. Wu
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,hard to think
,,,,,0.0,,,0.0,0.0,,,,,0.0,,,,,0.0,,0.0,,,,counselling
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,Work
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,not enough sleep
,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,0.0,,0.0,,,,Dr. DeJong
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,Mom's Day
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,hard to wake up
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,scott away
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,day after glutening
,,,,,0.0,,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,,,worried
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,Day after travel
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,stressed
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,work from home
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,decorated a cake
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,stayed up late
