AM meds,danced,Zantac,thanksgiving dinner,IVIG,pasta and veggies,MitoQ ,Oestrogel,Amitriptyline,almonds,had sex,Florinef,Acetaminophen,Zolpidem,BLT,flaxseed and fybogel,ate breakfast,haircut,Omega-3 Capsules,Cod liver oil,went swimming,vacation,spinach risotto,dairy,Psyllium husk,Venlafaxine,Prontolax Supp,exercise,Cat ,Superlong nap,gluten,Excedrin,ate gluten,Ligament Restore,SAD Light Box,Cat,Vitamin C,Gabapentine,Vitamin D3,vacuuming,no breakfast,egg white dlite,slept in chair,sushi,doritos,home alone,Physical therapy,Nortriptyline,Marijuana,walked,banana,Hydrocortisone,rice noodles,Ibuprofen,cake,Vacation,Singing,drank a lot,massage,Pantoprazole,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM meds
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,danced
,,,,0.0,2.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,2.0,,,,,,,,,2.0,,,,,,Zantac
,,,,,,,,2.0,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,,,,0.0,,2.0,,thanksgiving dinner
,,0.0,,,2.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,2.0,,,,,,,,,2.0,,,,,,IVIG
,,2.0,,2.0,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,2.0,,2.0,,,,,2.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,pasta and veggies
,,,,,,,0.0,,,2.0,,,0.0,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,2.0,,,,,,,,,0.0,MitoQ 
,,,,,,0.0,,,,2.0,,,0.0,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,2.0,,,,,,,,,0.0,Oestrogel
,,,2.0,,,,,,2.0,,,,,2.0,2.0,,2.0,,,,,2.0,,,,,,2.0,,,,,,2.0,2.0,0.0,,0.0,2.0,,2.0,2.0,0.0,2.0,,,,,,,,2.0,,,,2.0,,0.0,,Amitriptyline
,,,0.0,,,,,2.0,,,,,,0.0,0.0,,0.0,,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,,,,0.0,,2.0,,almonds
,,,,,,2.0,2.0,,,,,,2.0,,,,,2.0,,,,,,,2.0,2.0,0.0,,,,,,,,,,2.0,,,,,,,,,,2.0,,,0.0,,,,,,,,,2.0,had sex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Florinef
,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,Acetaminophen
,,,,,,0.0,0.0,,,2.0,,,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,2.0,,,,,,,,,0.0,Zolpidem
,,,0.0,,,,,2.0,0.0,,,,,,0.0,,0.0,,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,,,,0.0,,2.0,,BLT
,,,0.0,,,,,2.0,0.0,,,,,0.0,,,0.0,,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,,,,0.0,,2.0,,flaxseed and fybogel
,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,0.0,,,ate breakfast
,,,0.0,,,,,2.0,0.0,,,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,,,,0.0,,2.0,,haircut
,,,,,,0.0,0.0,,,2.0,,,0.0,,,,,,,,,,,,0.0,0.0,2.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,2.0,,,,,,,,,0.0,Omega-3 Capsules
,,0.0,,0.0,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,2.0,,,,,,,,,2.0,,,,,,Cod liver oil
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,went swimming
,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vacation
,,,0.0,,,,,2.0,0.0,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,,,,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,,,,0.0,,2.0,,spinach risotto
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,dairy
,,0.0,,0.0,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,2.0,,,,,,,,,2.0,,,,,,Psyllium husk
,,,,,,0.0,0.0,,,2.0,,,0.0,,,,,0.0,,,,,,,,0.0,2.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,2.0,,,,,,,,,0.0,Venlafaxine
,,,,,,0.0,0.0,,,2.0,,,0.0,,,,,0.0,,,,,,,0.0,,2.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,2.0,,,,,,,,,0.0,Prontolax Supp
,,,,,,2.0,2.0,,,0.0,,2.0,2.0,,,0.0,,2.0,,,,,,,2.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,0.0,,,2.0,,,,,,2.0,exercise
