up late,creative urge,Teared up,work day,hungover,creative block,sent out job application,confident,hot,Naproxen,clean,fun time with family,nagging mother,row
,0.0,,2.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,up late
0.0,,,2.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,creative urge
,,,,2.0,,,,,2.0,,,,Teared up
2.0,2.0,,,,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,work day
,,2.0,,,,,,,0.0,,,,hungover
0.0,0.0,,2.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,creative block
0.0,0.0,,2.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,sent out job application
0.0,0.0,,2.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,confident
0.0,0.0,,2.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,hot
,,2.0,,0.0,,,,,,,,,Naproxen
0.0,0.0,,2.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,clean
0.0,0.0,,2.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,fun time with family
0.0,0.0,,2.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,nagging mother
