jet lag,Stayed at home,marijuana,worked in studio,Valacyclovir,Bactrim,hiking,busy at work,Diet,Dexedrine,exercise,headache,Codeine,Anxious,headache free,social gathering,Adderall,insanity in morning,had therapy,good sleep,bad sleep,"very, very tired",apathetic,stressed,happy,row
,,,,,,,,,,,,,,,,,,,,,,,,,jet lag
,,,,,,,,,,,,,,,,,,,,,,,,,Stayed at home
,,,,,,,,,,,,,,,,,,,,,,,,,marijuana
,,,,,,,,,,,,,,,,,,,,,,,,,worked in studio
,,,,,,,,,,,2.0,,2.0,2.0,,,2.0,,,2.0,,2.0,,2.0,Valacyclovir
,,,,,,,2.0,2.0,,,,,2.0,,,,,,,,,,,,Bactrim
,,,,,,,,,,,,,,,,,,,,,,,,,hiking
,,,,,2.0,,,0.0,,,,,0.0,,,,,,,,,,,,busy at work
,,,,,2.0,,0.0,,,,,,0.0,,,,,,,,,,,,Diet
,,,,,,,,,,,,,,,,,,,,,,,,,Dexedrine
,,,,,,,,,,,,,,,,,,,,,,,,,exercise
,,,,2.0,,,,,,,,,0.0,0.0,,,0.0,,,0.0,,0.0,,0.0,headache
,,,,,,,,,,,,,,,,,,,,,,,,,Codeine
,,,,2.0,2.0,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,0.0,Anxious
,,,,2.0,,,,,,,0.0,,0.0,,,,0.0,,,0.0,,0.0,,0.0,headache free
,,,,,,,,,,,,,,,,,,,,,,,,,social gathering
,,,,,,,,,,,,,,,,,,,,,,,,,Adderall
,,,,2.0,,,,,,,0.0,,0.0,0.0,,,,,,0.0,,0.0,,0.0,insanity in morning
,,,,,,,,,,,,,,,,,,,,,,,,,had therapy
,,,,,,,,,,,,,,,,,,,,,,,,,good sleep
,,,,2.0,,,,,,,0.0,,0.0,0.0,,,0.0,,,,,0.0,,0.0,bad sleep
,,,,,,,,,,,,,,,,,,,,,,,,,"very, very tired"
,,,,2.0,,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,,,0.0,apathetic
,,,,,,,,,,,,,,,,,,,,,,,,,stressed
,,,,2.0,,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,,,happy
