Wear shoulder brace,Oxynorm,Ambien CR,Freezie wrap,More stretching,Norco,Zofran,dairy free,Hydroxyzine,gluten free,Protecting back,heating pads,Lying flat,Miralax low dose at night,cocodamol,drawing,row
,,,,,,,,,,,,,,,,Wear shoulder brace
,,,,,,,,,,,,,,,,Oxynorm
,,,,,,,,,,,,,,,,Ambien CR
,,,,,,,,,,,,,,,,Freezie wrap
,,,,,,,,,,,,,,,,More stretching
,,,,,,,,,,,,,,,,Norco
,,,,,,,,,,,,,,,,Zofran
,,,,,,,,,,,,,,,,dairy free
,,,,,,,,,,,,,,,,Hydroxyzine
,,,,,,,,,,,,,,,,gluten free
,,,,,,,,,,,,,,,,Protecting back
,,,,,,,,,,,,,,,,heating pads
,,,,,,,,,,,,,,,,Lying flat
,,,,,,,,,,,,,,,,Miralax low dose at night
,,,,,,,,,,,,,,,,cocodamol
,,,,,,,,,,,,,,,,drawing
