Diazepam,Medications,Yoga,physical therapy,L-methylfolate,birth control,Exercise,Aspirin,sugar free diet,Cambia,Exercise--walking,elliptical,Vitamin d,psychiatrists,Chiropractic,Dermatologist,Glucosamine,Multivitamin,Keppra,Gabapentin,Walking,Medication,neuro,Coenzyme q-10,Lexapro,Ibuprofen,Meditation,counselor,massage,Pristiq,row
,,,,0.0,0.0,,0.0,,2.0,2.0,2.0,,,,,0.0,0.0,0.0,2.0,,,,,2.0,2.0,2.0,,0.0,0.0,Diazepam
,,0.0,0.0,,,0.0,,,,,,2.0,0.0,0.0,0.0,,,,,2.0,0.0,2.0,2.0,,,,0.0,,,Medications
,0.0,,0.0,,,0.0,,,,,,2.0,0.0,0.0,0.0,,,,,2.0,0.0,2.0,2.0,,,,0.0,,,Yoga
,0.0,0.0,,,,0.0,,,,,,2.0,0.0,0.0,0.0,,,,,2.0,0.0,2.0,2.0,,,,0.0,,,physical therapy
0.0,,,,,0.0,,0.0,,2.0,2.0,2.0,,,,,0.0,0.0,0.0,2.0,,,,,2.0,2.0,2.0,,0.0,0.0,L-methylfolate
0.0,,,,0.0,,,0.0,,2.0,2.0,2.0,,,,,0.0,0.0,0.0,2.0,,,,,2.0,2.0,2.0,,0.0,0.0,birth control
,0.0,0.0,0.0,,,,,,,,,2.0,0.0,0.0,0.0,,,,,2.0,0.0,2.0,2.0,,,,0.0,,,Exercise
0.0,,,,0.0,0.0,,,,2.0,2.0,2.0,,,,,0.0,0.0,0.0,2.0,,,,,2.0,2.0,2.0,,0.0,0.0,Aspirin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sugar free diet
2.0,,,,2.0,2.0,,2.0,,,0.0,0.0,,,,,2.0,2.0,2.0,0.0,,,,,0.0,0.0,0.0,,2.0,2.0,Cambia
2.0,,,,2.0,2.0,,2.0,,0.0,,0.0,,,,,2.0,2.0,2.0,0.0,,,,,0.0,0.0,0.0,,2.0,2.0,Exercise--walking
2.0,,,,2.0,2.0,,2.0,,0.0,0.0,,,,,,2.0,2.0,2.0,0.0,,,,,0.0,0.0,0.0,,2.0,2.0,elliptical
,2.0,2.0,2.0,,,2.0,,,,,,,2.0,2.0,2.0,,,,,0.0,2.0,0.0,0.0,,,,2.0,,,Vitamin d
,0.0,0.0,0.0,,,0.0,,,,,,2.0,,0.0,0.0,,,,,2.0,0.0,2.0,2.0,,,,0.0,,,psychiatrists
,0.0,0.0,0.0,,,0.0,,,,,,2.0,0.0,,0.0,,,,,2.0,0.0,2.0,2.0,,,,0.0,,,Chiropractic
,0.0,0.0,0.0,,,0.0,,,,,,2.0,0.0,0.0,,,,,,2.0,0.0,2.0,2.0,,,,0.0,,,Dermatologist
0.0,,,,0.0,0.0,,0.0,,2.0,2.0,2.0,,,,,,0.0,0.0,2.0,,,,,2.0,2.0,2.0,,0.0,0.0,Glucosamine
0.0,,,,0.0,0.0,,0.0,,2.0,2.0,2.0,,,,,0.0,,0.0,2.0,,,,,2.0,2.0,2.0,,0.0,0.0,Multivitamin
0.0,,,,0.0,0.0,,0.0,,2.0,2.0,2.0,,,,,0.0,0.0,,2.0,,,,,2.0,2.0,2.0,,0.0,0.0,Keppra
2.0,,,,2.0,2.0,,2.0,,0.0,0.0,0.0,,,,,2.0,2.0,2.0,,,,,,0.0,0.0,0.0,,2.0,2.0,Gabapentin
,2.0,2.0,2.0,,,2.0,,,,,,0.0,2.0,2.0,2.0,,,,,,2.0,0.0,0.0,,,,2.0,,,Walking
,0.0,0.0,0.0,,,0.0,,,,,,2.0,0.0,0.0,0.0,,,,,2.0,,2.0,2.0,,,,0.0,,,Medication
,2.0,2.0,2.0,,,2.0,,,,,,0.0,2.0,2.0,2.0,,,,,0.0,2.0,,0.0,,,,2.0,,,neuro
,2.0,2.0,2.0,,,2.0,,,,,,0.0,2.0,2.0,2.0,,,,,0.0,2.0,0.0,,,,,2.0,,,Coenzyme q-10
2.0,,,,2.0,2.0,,2.0,,0.0,0.0,0.0,,,,,2.0,2.0,2.0,0.0,,,,,,0.0,0.0,,2.0,2.0,Lexapro
2.0,,,,2.0,2.0,,2.0,,0.0,0.0,0.0,,,,,2.0,2.0,2.0,0.0,,,,,0.0,,0.0,,2.0,2.0,Ibuprofen
2.0,,,,2.0,2.0,,2.0,,0.0,0.0,0.0,,,,,2.0,2.0,2.0,0.0,,,,,0.0,0.0,,,2.0,2.0,Meditation
,0.0,0.0,0.0,,,0.0,,,,,,2.0,0.0,0.0,0.0,,,,,2.0,0.0,2.0,2.0,,,,,,,counselor
0.0,,,,0.0,0.0,,0.0,,2.0,2.0,2.0,,,,,0.0,0.0,0.0,2.0,,,,,2.0,2.0,2.0,,,0.0,massage
0.0,,,,0.0,0.0,,0.0,,2.0,2.0,2.0,,,,,0.0,0.0,0.0,2.0,,,,,2.0,2.0,2.0,,0.0,,Pristiq
