AM meds,Low dose pain meds,Social interactions,Sertraline,SAD Light Box,Hydrocortisone,Brintellix,Sleep,Florinef,Hobbies,distraction,Exercise,Mirtazapine,row
,,,,,0.0,,,0.0,,,,,AM meds
,,,,,,,,,,,,,Low dose pain meds
,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,2.0,Social interactions
,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,2.0,Sertraline
,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,SAD Light Box
0.0,,,,,,,,0.0,,,,,Hydrocortisone
,,,,,,,,,,,,,Brintellix
,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,2.0,Sleep
0.0,,,,,0.0,,,,,,,,Florinef
,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,2.0,Hobbies
,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,2.0,distraction
,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,2.0,Exercise
,,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,,Mirtazapine
