Vitamin d,Thyroid-Pro (CanPrev),Cetirizine,B12 timed release,Sisu B Calm,Thyroid-Pro,Buffered Salmon Oil - DHA - EPA,Echinacea,Calcium citrate,WomenSense AdrenaSense Adrenal Formula,Biotin,Acetaminophen,AOR Zinc-Copper Balance,Curcumin,Folic acid,Probiotic Pearls,5-htp,row
,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,Vitamin d
2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,Thyroid-Pro (CanPrev)
0.0,2.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,Cetirizine
0.0,2.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,B12 timed release
0.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,Sisu B Calm
2.0,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,Thyroid-Pro
0.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,Buffered Salmon Oil - DHA - EPA
0.0,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,Echinacea
0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,Calcium citrate
0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,0.0,WomenSense AdrenaSense Adrenal Formula
0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,Biotin
2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,0.0,2.0,2.0,2.0,Acetaminophen
0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,AOR Zinc-Copper Balance
2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,2.0,2.0,2.0,Curcumin
0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,0.0,Folic acid
0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,Probiotic Pearls
0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,5-htp
