didn't really eat lunch,Vitamins,hiking,Dancing,physical therapy,Language Learning,church,Fluids,Biosil,trying to clean the house,Naproxen,prayer,Extra Medications,fuck yeah avocado,ate breakfast,ASMR,Coffee,busy,Medical Marijuana,Ocella,Trigger Points,espresso,Sauna,Daily walk,hot,Exercise--walking,playing music,SPD alternative treatments,Weather- rain,Therapy,Swimming,creative writing,exercise,Humira,Superlong nap,Aloe Detox Water,gluten,Pet Therapy,Medical marijuana,Buffered Salmon Oil - DHA - EPA,breathing exercises,Essential oils,slept 12 hours,coffee,Iron,Tavegyl,Thyroid-Pro (CanPrev),Turmeric,Vitamin C,Medication,no sleep,Deep rest,B12 timed release,cuddled kitten,Hemorrhoid Cream,AOR Zinc-Copper Balance,Meditation,massage,TENS Unit,row
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,didn't really eat lunch
,,,,,0.0,2.0,0.0,,,,,0.0,,,0.0,0.0,2.0,0.0,,,2.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,0.0,0.0,2.0,2.0,,,,0.0,,0.0,2.0,,,,,,0.0,0.0,0.0,Vitamins
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,hiking
,,,,0.0,,,,0.0,0.0,0.0,0.0,,2.0,,,,2.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,0.0,2.0,,0.0,,,,Dancing
,,,0.0,,,,,0.0,0.0,0.0,0.0,,2.0,,,,2.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,0.0,2.0,,0.0,,,,physical therapy
,0.0,,,,,2.0,0.0,,,,,0.0,,,0.0,0.0,2.0,0.0,,,2.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,0.0,0.0,2.0,2.0,,,,0.0,,0.0,2.0,,,,,,0.0,0.0,0.0,Language Learning
,2.0,,,,2.0,,2.0,,,,,2.0,,,2.0,2.0,0.0,2.0,,,0.0,,2.0,,2.0,,2.0,2.0,2.0,,,,,,2.0,,2.0,0.0,,2.0,2.0,0.0,0.0,,,,2.0,,2.0,0.0,,,,,,2.0,2.0,2.0,church
,0.0,,,,0.0,2.0,,,,,,0.0,,,0.0,0.0,2.0,0.0,,,2.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,0.0,0.0,2.0,2.0,,,,0.0,,0.0,2.0,,,,,,0.0,0.0,0.0,Fluids
,,,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,,,,2.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,0.0,2.0,,0.0,,,,Biosil
,,,0.0,0.0,,,,0.0,,0.0,0.0,,2.0,,,,2.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,0.0,2.0,,0.0,,,,trying to clean the house
