Tranexamic acid,Phyical Therapy - stretches,Fluvoxamine,Osteopathy,Naproxen,Toprol,Prednisone,N-acetyl cysteine,Clarithromycin,Mt. Si ACDC 2x Coco Caps,Probiotic,TigerBalm,Magnesium,playing music,Swimming,Allegra,Flexeril,Marijuana,Lidocaine Patch,AOR Zinc-Copper Balance,Corticosteroids,Tretinoin,Buteyko  breathing exercises ,Low dose pain meds,gluten free diet,Vicodin,Acetaminophen,Tyrosine,Coffee,Strattera,Relaxing,Probiotic Gummy,Methylphenidate,Clinda-derm,excedrin migraine,Dexedrine,creative writing,Vitamin Gummies,Tetralabs Gold Caps CBN,Buffered Salmon Oil - DHA - EPA,Vitamin B,Ropinirole,Tavegyl,Sisu B Calm,Maxalt,Medication,Voltaren,Zomig,Hydrocortisone,digestive enzyme,Tolterodine,massage,Yoga,physical therapy,Florinef,Therapy,Metformin,Exercise,Biosil,Dancing,Topiramate,Plaquenil,Trigger Points,ZMA,Deep rest,Midodrine,Thyroid-Pro (CanPrev),Love,Ultrasound,Ibuprofen,Dicyclomine,Pantoprazole,Cefaly Unit,prayer,mountain biking,Ventolin,Fexofenadine,B12 timed release,Hit 10k Steps,Exercise--walking,Achy breaky rub,Zopiclone,Tetralabs Gold Caps,Piyo,Benadryl,Enada,Topamax,thyroid support complex,Progesterone,Essential oils,Calcium,Montelukast,Colesevelam,Paracetamol,row
,2.0,,2.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,0.0,,,2.0,2.0,,,,,,0.0,,,,,2.0,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,,,,2.0,,,,,2.0,,,0.0,,,2.0,,,Tranexamic acid
2.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,2.0,,,0.0,,,Phyical Therapy - stretches
,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Fluvoxamine
2.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,2.0,,,0.0,,,Osteopathy
,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,2.0,,,,,,,,,,0.0,,0.0,,,0.0,2.0,,,2.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,Naproxen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toprol
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,Prednisone
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,N-acetyl cysteine
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,Clarithromycin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mt. Si ACDC 2x Coco Caps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Probiotic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,TigerBalm
,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Magnesium
,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,2.0,,,,,,,,,,0.0,,0.0,,,0.0,2.0,,,2.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,playing music
,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,2.0,,,,,,,,,,0.0,,0.0,,,0.0,2.0,,,2.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,Swimming
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allegra
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flexeril
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Marijuana
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lidocaine Patch
,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,2.0,,,,,,,,,,0.0,,0.0,,,0.0,2.0,,,2.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,AOR Zinc-Copper Balance
2.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,2.0,,,0.0,,,Corticosteroids
2.0,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,2.0,,,0.0,,,Tretinoin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buteyko  breathing exercises 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low dose pain meds
,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,gluten free diet
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,Vicodin
,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Acetaminophen
,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Tyrosine
