had a 4 hour nap right after breakfast,Alcohol,Migraine Diet,had a bath,had sex,ate red meat,12K Steps,anti-diarrhea med,washed and exfoliated my feet,lift x2,Ubiquinol,normal sleep,CoQ10,coffee,Meat,medium sleep,ate badly,Vitamin C,grapes,b12 spray,Fish oil,Zomig,stool softener,shower,nachos,Pristiq,row
,2.0,2.0,0.0,,,,2.0,0.0,0.0,2.0,,2.0,,,,,2.0,,2.0,2.0,,2.0,0.0,,2.0,had a 4 hour nap right after breakfast
2.0,,0.0,2.0,,,,0.0,2.0,2.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,2.0,,0.0,Alcohol
2.0,0.0,,2.0,,,,0.0,2.0,2.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,2.0,,0.0,Migraine Diet
0.0,2.0,2.0,,,,,2.0,0.0,0.0,2.0,,2.0,,,,,2.0,,2.0,2.0,,2.0,0.0,,2.0,had a bath
,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,had sex
,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,ate red meat
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,12K Steps
2.0,0.0,0.0,2.0,,,,,2.0,2.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,2.0,,0.0,anti-diarrhea med
0.0,2.0,2.0,0.0,,,,2.0,,0.0,2.0,,2.0,,,,,2.0,,2.0,2.0,,2.0,0.0,,2.0,washed and exfoliated my feet
0.0,2.0,2.0,0.0,,,,2.0,0.0,,2.0,,2.0,,,,,2.0,,2.0,2.0,,2.0,0.0,,2.0,lift x2
2.0,0.0,0.0,2.0,,,,0.0,2.0,2.0,,,0.0,,,,,0.0,,0.0,0.0,,0.0,2.0,,0.0,Ubiquinol
,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,normal sleep
2.0,0.0,0.0,2.0,,,,0.0,2.0,2.0,0.0,,,,,,,0.0,,0.0,0.0,,0.0,2.0,,0.0,CoQ10
,,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,coffee
,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,Meat
,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,medium sleep
,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,ate badly
2.0,0.0,0.0,2.0,,,,0.0,2.0,2.0,0.0,,0.0,,,,,,,0.0,0.0,,0.0,2.0,,0.0,Vitamin C
,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,grapes
2.0,0.0,0.0,2.0,,,,0.0,2.0,2.0,0.0,,0.0,,,,,0.0,,,0.0,,0.0,2.0,,0.0,b12 spray
2.0,0.0,0.0,2.0,,,,0.0,2.0,2.0,0.0,,0.0,,,,,0.0,,0.0,,,0.0,2.0,,0.0,Fish oil
,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,Zomig
2.0,0.0,0.0,2.0,,,,0.0,2.0,2.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,,2.0,,0.0,stool softener
0.0,2.0,2.0,0.0,,,,2.0,0.0,0.0,2.0,,2.0,,,,,2.0,,2.0,2.0,,2.0,,,2.0,shower
,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,nachos
2.0,0.0,0.0,2.0,,,,0.0,2.0,2.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,2.0,,,Pristiq
