Solifenacin,busy,Yoga,Probiotic,BeachBody OnDemand,physical therapy,snuggles,Cyclizine,very active aqua class,TigerBalm,day at home,Vitamin b12,Feverfew,scary new shit,woke up late,Umeboshi,Ritalin,Passionflower,Piyo,ate breakfast,dairy,row
,0.0,,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,2.0,Solifenacin
0.0,,,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,2.0,busy
,,,,,,,,,,,,,,,,,,,,,Yoga
0.0,0.0,,,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,2.0,Probiotic
0.0,0.0,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,2.0,BeachBody OnDemand
2.0,2.0,,2.0,2.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,0.0,physical therapy
2.0,2.0,,2.0,2.0,0.0,,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,0.0,snuggles
0.0,0.0,,0.0,0.0,2.0,2.0,,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,2.0,Cyclizine
2.0,2.0,,2.0,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,0.0,very active aqua class
0.0,0.0,,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,2.0,TigerBalm
0.0,0.0,,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,2.0,day at home
0.0,0.0,,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,2.0,Vitamin b12
0.0,0.0,,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,2.0,Feverfew
2.0,2.0,,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,0.0,scary new shit
0.0,0.0,,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,2.0,woke up late
,,,,,,,,,,,,,,,,,,,,,Umeboshi
0.0,0.0,,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,2.0,Ritalin
0.0,0.0,,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,Passionflower
0.0,0.0,,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,Piyo
0.0,0.0,,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,,2.0,ate breakfast
2.0,2.0,,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,,dairy
