didn't really eat lunch,Low dose pain meds,took nap,smoked,shopped,decent sleep,fast food,ate breakfast,gluten,no sleep last night,dairy,no lunch,alcohol yesterday,Tetralabs Gold Caps,slept late,rest day,Tetralabs Gold Caps CBN,Cefaly Unit,juiced,Seasonique,exercised,Mt. Si ACDC 2x Coco Caps,Maxalt,Flexeril,didn't eat breakfast,fun shopping,new environment,masturbated,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,didn't really eat lunch
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low dose pain meds
,,,,,,,,,,,,,,,,,,,,,,,,,,,,took nap
,,,,,,,,,,,,,,,,,,,,,,,,,,,,smoked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopped
,,,,,,,,,,,,,,,,,,,,,,,,,,,,decent sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast food
,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,ate breakfast
,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,gluten
,,,,,,,,,,,,,,,,,,,,,,,,,,,,no sleep last night
,,,,,,,,,,,,,,,,,,,,,,,,,,,,dairy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,no lunch
,,,,,,,,,,,,,,,,,,,,,,,,,,,,alcohol yesterday
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tetralabs Gold Caps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,slept late
,,,,,,,,,,,,,,,,,,,,,,,,,,,,rest day
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tetralabs Gold Caps CBN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cefaly Unit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,juiced
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seasonique
,,,,,,,,,,,,,,,,,,,,,,,,,,,,exercised
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mt. Si ACDC 2x Coco Caps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxalt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flexeril
,,,,,,,,,,,,,,,,,,,,,,,,,,,,didn't eat breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,fun shopping
,,,,,,,,,,,,,,,,,,,,,,,,,,,,new environment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,masturbated
