Walking,Medication,Yoga,Chiropractic,Vitamin d,Coenzyme q-10,Medications,Dermatologist,neuro,counselor,Exercise,psychiatrists,row
,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Walking
2.0,,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,Medication
2.0,0.0,,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,Yoga
0.0,2.0,2.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Chiropractic
2.0,0.0,0.0,2.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,Vitamin d
2.0,0.0,0.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,2.0,Coenzyme q-10
0.0,2.0,2.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,Medications
0.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,Dermatologist
0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,neuro
0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,counselor
0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,Exercise
0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,psychiatrists
