Spironolactone,Claritin,Zantac,Citalopram,Fish oil,Prilosec,Tummy Tamers,Cranberry extract,Topiramate,Magnesium,Vitamin d,cocodamol,massage,row
,2.0,2.0,0.0,2.0,2.0,,2.0,0.0,2.0,2.0,0.0,2.0,Spironolactone
2.0,,0.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,Claritin
2.0,0.0,,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,Zantac
0.0,2.0,2.0,,2.0,2.0,,2.0,0.0,2.0,2.0,0.0,2.0,Citalopram
2.0,0.0,0.0,2.0,,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,Fish oil
2.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,2.0,0.0,Prilosec
,,,,,,,,,,,,,Tummy Tamers
2.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,0.0,2.0,0.0,Cranberry extract
0.0,2.0,2.0,0.0,2.0,2.0,,2.0,,2.0,2.0,0.0,2.0,Topiramate
2.0,0.0,0.0,2.0,0.0,0.0,,0.0,2.0,,0.0,2.0,0.0,Magnesium
2.0,0.0,0.0,2.0,0.0,0.0,,0.0,2.0,0.0,,2.0,0.0,Vitamin d
0.0,2.0,2.0,0.0,2.0,2.0,,2.0,0.0,2.0,2.0,,2.0,cocodamol
2.0,0.0,0.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,,massage
