Diazepam,Multivitamin,sugar free diet,elliptical,L-methylfolate,Selenium,Pristiq,Keppra,Vitamin C,Exercise--walking,massage,Glucosamine,Ibuprofen,birth control,Meditation,Gabapentin,Cambia,Lexapro,Aspirin,row
,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diazepam
0.0,,,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Multivitamin
,,,,,,,,,,,,,,,,,,,sugar free diet
0.0,0.0,,,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,elliptical
0.0,0.0,,0.0,,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L-methylfolate
,,,,,,,,2.0,,,,,,,,,,,Selenium
0.0,0.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pristiq
0.0,0.0,,0.0,0.0,,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Keppra
,,,,,2.0,,,,,,,,,,,,,,Vitamin C
0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exercise--walking
2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,massage
0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glucosamine
0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Ibuprofen
0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,birth control
0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Meditation
0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Gabapentin
0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Cambia
0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Lexapro
0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Aspirin
