Metoprolol,Viibryd,Vitamins,Phyical Therapy - stretches,Caffeine,Osteopathy,Tranexamic acid,Ambien CR,Amitriptyline,excedrin migraine,N-acetyl cysteine,Vitamin b complex,Mt. Si ACDC 2x Coco Caps,Probiotic,TigerBalm,Megaspore,wear mask,fiber art - sewing,THC,Famotidine,Allegra,Flexeril,Migraine Diet,Fish oil,Rest,Post-op ice device,Corticosteroids,Shoe Insoles,Tretinoin,Ritalin,Buteyko  breathing exercises ,gluten free diet,exercise - dancing,Human Growth Hormone,Acetaminophen,Spasfon,Solifenacin,Claritin,Strattera,Relaxing,Citalopram,Zofran,Clinda-derm,Hydroxyzine,meds,Low-FODMAP diet,Acetaminophen plus Codeine Number 3,Tetralabs Gold Caps CBN,Inderal,SAD Light Box,Astelin,Vitamin C,Dr J study,co-tenidone,Vitamin b6,Anakinra,Meditation,Klonopin,Medication,CBD,Vitamin B,Zomig,Ginger,Hydrocortisone,Vitamin b12,Vitamin d,Ice pack,Curcumin,physical therapy,Florinef,Omeprazole,Levothyroxine,Metformin,Wristies,Armodafinil,Feverfew,Cyclizine,Midodrine,stool softener,anti-nausea pills,Cabergoline,magnesium ionic,Zinc,Ibuprofen,Melatonin,Dicyclomine,AM meds,Alcohol,BeachBody OnDemand,Glutamine,Sunlight,Pantoprazole,Magnesium glycinate,5-htp,colofac mr,Nasonex,Fexofenadine,Cetirizine hydrochloride,Fluoxetine,Medicinal Herbs,eye ointment,gluten free,Ubiquinol,Fruit,Achy breaky rub,Tetralabs Gold Caps,Piyo,Tensor Band,flu vaccine injection,Benadryl,Enada,strapping of shoulder,Coffee,Progesterone,Bovine colostrum,Support worker assistance,heating pads,Norco,Nia Class,catheter,Azathioprine,Iodine,Singulair,Pentasa,Montelukast,Heating Pad,Paracetamol,Passionflower,row
,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Metoprolol
0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Viibryd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,Vitamins
,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,Phyical Therapy - stretches
0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,0.0,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,2.0,,,0.0,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,Caffeine
,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,Osteopathy
,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,Tranexamic acid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ambien CR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amitriptyline
,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,excedrin migraine
