Prednisone,Probiotic,Creatine,Clonazepam,Fish oil,Ecural,Synthroid,Physiotherapy,linseed,Standing desk,Vitamin d,Nortriptyline,Lithium,Mezavant,Magnesium gel,Ranitidine,row
,,,,,,,,,,,,,,,,Prednisone
,,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,Probiotic
,2.0,,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,Creatine
,2.0,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,Clonazepam
,0.0,2.0,2.0,,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,Fish oil
,0.0,2.0,2.0,0.0,,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,Ecural
,0.0,2.0,2.0,0.0,0.0,,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,Synthroid
,2.0,0.0,0.0,2.0,2.0,2.0,,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,Physiotherapy
,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,2.0,0.0,2.0,2.0,0.0,2.0,0.0,linseed
,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,2.0,Standing desk
,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,,2.0,2.0,0.0,2.0,0.0,Vitamin d
,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,2.0,Nortriptyline
,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,Lithium
,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,,2.0,0.0,Mezavant
,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,,2.0,Magnesium gel
,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,Ranitidine
