Dicyclomine,Diazepam,Tretinoin,gluten free diet,L-methylfolate,Albuterol Inhaler,birth control,Lithium,Magnesium gel,Aspirin,Fexofenadine,Prednisone,sugar free diet,Zolmitriptan,Clonazepam,Clinda-derm,Ecural,Synthroid,Cambia,Paracetamol,Exercise--walking,elliptical,Valerian,Turmeric,creative writing,Multi vitamin,Benadryl,linseed,Ranitidine,Probiotic,Stretching,Calcium citrate,Vitamin C,Deep rest,Physiotherapy,Magnesium,Glucosamine,Multivitamin,Sisu B Calm,Keppra,Gabapentin,Ginkgo,Escitalopram,Cetirizine,Mezavant,Sertraline,Fish oil,Creatine,Montelukast,Lexapro,Standing desk,Ibuprofen,Meditation,Vitamin d,Cardio,Nortriptyline,massage,Pristiq,row
,,2.0,,,,,,,,0.0,,,2.0,,2.0,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,Dicyclomine
,,,,0.0,,0.0,,,0.0,,,,,,,,,2.0,,2.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,Diazepam
2.0,,,,,,,,,,2.0,,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,Tretinoin
,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,gluten free diet
,0.0,,,,,0.0,,,0.0,,,,,,,,,2.0,,2.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,L-methylfolate
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,2.0,,,0.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,Albuterol Inhaler
,0.0,,,0.0,,,,,0.0,,,,,,,,,2.0,,2.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,birth control
,,,,,,,,0.0,,,2.0,,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,2.0,,,Lithium
,,,,,,,0.0,,,,2.0,,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,2.0,,,Magnesium gel
,0.0,,,0.0,,0.0,,,,,,,,,,,,2.0,,2.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,Aspirin
0.0,,2.0,,,,,,,,,,,2.0,,2.0,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,Fexofenadine
,,,,,,,2.0,2.0,,,,,,2.0,,2.0,2.0,,,,,,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,,,,2.0,,2.0,2.0,,,2.0,,,2.0,,0.0,,,Prednisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sugar free diet
2.0,,0.0,,,,,,,,2.0,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,Zolmitriptan
,,,,,,,0.0,0.0,,,2.0,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,2.0,,,Clonazepam
2.0,,0.0,,,,,,,,2.0,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,Clinda-derm
,,,,,,,0.0,0.0,,,2.0,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,2.0,,,Ecural
,,,,,,,0.0,0.0,,,2.0,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,2.0,,,Synthroid
,2.0,,,2.0,,2.0,,,2.0,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,2.0,2.0,,2.0,2.0,,,,,,,,,2.0,,2.0,2.0,,,,2.0,2.0,Cambia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paracetamol
,2.0,,,2.0,,2.0,,,2.0,,,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,2.0,2.0,,2.0,2.0,,,,,,,,,2.0,,2.0,2.0,,,,2.0,2.0,Exercise--walking
,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,elliptical
2.0,,0.0,,,,,,,,2.0,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,Valerian
,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,0.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,Turmeric
,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,creative writing
,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,Multi vitamin
2.0,,0.0,,,0.0,,,,,2.0,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,2.0,,,0.0,2.0,,,,,,,,2.0,,,2.0,,,,,2.0,,,,,0.0,,,,,Benadryl
,,,,,,,0.0,0.0,,,2.0,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,2.0,,,linseed
,,,,,2.0,,0.0,0.0,,,2.0,,,0.0,,0.0,0.0,,,,,,2.0,,,2.0,0.0,,0.0,,2.0,0.0,,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0461583941113,,2.0,,,Ranitidine
,,,,,,,0.0,0.0,,,2.0,,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,2.0,,,Probiotic
,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,Stretching
