shopped,neck pain,laundry,swept floor,stiff,doctor appointment,low blood sugar,television,walked,painful knees,ate breakfast,painful back,stressed,Showered,knee pain,voted,row
,,,,,,,,,,,,,,,,shopped
,,,,,,,,,,,,,,,,neck pain
,,,,,,,,,,,,,,,,laundry
,,,,,,,,,,,,,,,,swept floor
,,,,,,,,,,,,,,,,stiff
,,,,,,,,,,,,,,,,doctor appointment
,,,,,,,,,,,,,,,,low blood sugar
,,,,,,,,,,,,,,,,television
,,,,,,,,,,,,,,,,walked
,,,,,,,,,,,,,,,,painful knees
,,,,,,,,,,,,0.0,,,,ate breakfast
,,,,,,,,,,,,,,,,painful back
,,,,,,,,,,0.0,,,,,,stressed
,,,,,,,,,,,,,,,,Showered
,,,,,,,,,,,,,,,,knee pain
,,,,,,,,,,,,,,,,voted
