Valdoxan,Migraine Diet,Vyvanse,floravit iron,Eyebright Complex,Acetyl Carnitine,Lithium,Soluble Aspirin,pur-absorb iron,Nasonex,Pataday,Creatine,Clonazepam,Zofran,Buspirone,DLPA,N-Acelcysteine,antihistamines,Valium,Ventolin,Ibuprofen,Codeine,Progesterone,Spironolactone,Vitamin B,Vitamin B complex - 50,Magnesium,Iron,Multivitamin,Ondansetron,Panamax,Mirtazapine,Zoladex,Pain management,Voltaren,Nortriptyline,Wei Te Ling - heartburn,Vitamin a,Tian Ma Tou Tong - headache,row
,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Valdoxan
0.0,,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Migraine Diet
0.0,0.0,,0.0,0.0,,,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Vyvanse
0.0,0.0,0.0,,0.0,,,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,floravit iron
0.0,0.0,0.0,0.0,,,,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Eyebright Complex
,,,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,,,Acetyl Carnitine
,,,,,0.0,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,,,Lithium
2.0,2.0,2.0,2.0,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.99408901422,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,Soluble Aspirin
0.0,0.0,0.0,0.0,0.0,,,2.0,,0.0,0.0,,,0.0,2.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,pur-absorb iron
0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,,0.0,,,0.0,2.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Nasonex
0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,,,,0.0,2.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Pataday
,,,,,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,,,Creatine
,,,,,0.0,0.0,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,,,Clonazepam
0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,,,2.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Zofran
2.0,2.0,2.0,2.0,2.0,,,0.0,2.0,2.0,2.0,,,2.0,,0.0,,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,Buspirone
2.0,2.0,2.0,2.0,2.0,,,0.0,2.0,2.0,2.0,,,2.0,0.0,,,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,DLPA
,,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,,,N-Acelcysteine
,,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,,antihistamines
0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Valium
0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Ventolin
0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Ibuprofen
2.0,2.0,2.0,2.0,2.0,,,0.0,2.0,2.0,2.0,,,2.0,0.0,0.0,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,Codeine
0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,,,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Progesterone
0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,,,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Spironolactone
0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Vitamin B
0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Vitamin B complex - 50
0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Magnesium
0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Iron
0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Multivitamin
0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Ondansetron
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99408901422,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Panamax
