My Goodness Organics meals,ate breakfast,busy,sugar,Feverfew,methotraxate,Thyreoidum,Cold Mask,Probiotic,carrot sticks,Wine,grilled cheese,Sat outside in the sun,lifted weights,Ritalin,Biest,Cannabis CBD capsule 10mg,Zolpidem,ice cream,Solifenacin,caffeine,Carbomer eye drops,Venlafaxine,windsurfing,exercise,Ate ok,Work,no exercise,Superlong nap,Aga,Vitamin C,Placebo,slept in,slimfast,Nortriptyline,stretching,drank wine,Vitamin b12,Vitamin d,Methotrexate,Late lunch,Onions,sun exposure,hiking,physical therapy,Mediterranean Diet,had sex,chewing gum,Calcium Suplment,Peppermint oil,Bentyl,vacation,ate pizza,alverine,dairy,bbq,gluten,scary new shit,Calcium citrate,one glass of wine,worked,Folic acid,salad,over ate,MMJ,short sleep,Pantoprazole,coconut,Cyclizine,Questran,slept not alone,Puppy,Fexofenadine,Flo-pred,benchpress,nap,beach,had sex last night,knitting,eggs,Cerelle,thyroid support complex,exercised,Modulen,went to bed too late,no breakfast,Tacrolimus,Cetraben cream,tomato,Thyrax,walked,Fried food,thai food,Colesevelam,Passionflower,row
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,My Goodness Organics meals
,,,,,,,,,,,,,0.0,,,,,,,0.0,,,2.0,0.0,,0.0,,0.0,0.0,,2.0,0.0,,,,,,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,2.0,,,2.0,0.0,,,,2.0,,0.0,,0.0,,,2.0,,,2.0,0.0,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,0.0,,,0.0,,,,1.65382112939,2.0,,,,ate breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,busy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,sugar
,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,2.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,0.0,,,,0.0,,,2.0,,,,,,,0.0,Feverfew
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,methotraxate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thyreoidum
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Mask
,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,2.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,0.0,,,,0.0,,,2.0,,,,,,,0.0,Probiotic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000491099554178,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,2.0,,,,,,0.265473989956,,,,,,,,,,,,2.0,0.0,,,,,,,,0.00898208614347,,,1.92870279346,,carrot sticks
,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,Wine
,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,grilled cheese
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sat outside in the sun
,0.0,,,,,,,,,,,,,,,,,,,0.0,,,2.0,0.0,,0.0,,0.0,0.0,,,0.0,,,,,,,2.0,,,2.0,0.0,,2.0,2.0,,,,,,,,2.0,,0.0,,,,,2.0,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,2.0,,,,,lifted weights
,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,2.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,0.0,,,,0.0,,,2.0,,,,,,,0.0,Ritalin
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Biest
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannabis CBD capsule 10mg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zolpidem
,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,ice cream
,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,2.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,0.0,,,,0.0,,,2.0,,,,,,,0.0,Solifenacin
,0.0,,,,,,,,,,,,0.0,,,,,,,,,,2.0,0.0,,0.0,,0.0,0.0,,,0.0,,,,,,,2.0,,,2.0,0.0,,2.0,2.0,,,,,,,,2.0,,0.0,,,,,2.0,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,2.0,,,,,caffeine
,,,,2.0,,,,2.0,,,,,,2.0,,,,,2.0,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,2.0,,,2.0,,,,,,,,,,,2.0,,2.0,,,,,,,2.0,,,2.0,,,,2.0,,,0.0,,,,,,,2.0,Carbomer eye drops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venlafaxine
,2.0,,,,,,,,,,,,2.0,,,,,,,2.0,,,,2.0,,2.0,,2.0,2.0,,,2.0,,,,,,,0.0,,,0.0,2.0,,0.0,0.0,,,,,,,,0.0,,2.0,,,,,0.0,,,,2.0,,,,,,,,2.0,2.0,,,,,,,,,,,,2.0,,,,0.0,,,,,windsurfing
,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,2.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,2.0,,,2.0,0.0,,2.0,2.0,,,,,,,,2.0,,0.0,,,,,2.0,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,2.0,,,,,exercise
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ate ok
,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,,,0.0,,,,,,,2.0,,,2.0,0.0,,2.0,2.0,,,,,,,,2.0,,0.0,,,,,2.0,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,2.0,,,,,Work
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,no exercise
