Triamcinolone Lotion,Humira,Prednisone,Neti Pot,Fish oil,hydrocortisone suppository ,Flonase,Vitamin C,Iron,Lexam,Inflamma-blox,Triamcinolone Cream,row
,,,,,,,,,,,,Triamcinolone Lotion
,,-1.0,,,,1.0,1.0,1.0,,,-1.0,Humira
,-1.0,,,,,-1.0,-1.0,-1.0,,,1.0,Prednisone
,,,,,,,,,,,,Neti Pot
,,,,,,,,,,,,Fish oil
,,,,,,,,,,,,hydrocortisone suppository 
,1.0,-1.0,,,,,1.0,1.0,,,-1.0,Flonase
,1.0,-1.0,,,,1.0,,1.0,,,-1.0,Vitamin C
,1.0,-1.0,,,,1.0,1.0,,,,-1.0,Iron
,,,,,,,,,,,,Lexam
,,,,,,,,,,,,Inflamma-blox
,-1.0,1.0,,,,-1.0,-1.0,-1.0,,,,Triamcinolone Cream
