stress,hiking,wore bad shoes,med long run,ativan,tough half marathon,massage,hot,had sex,ate breakfast,mangos,exercise,row
,,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,stress
,,0.0,,,,,,,,,,hiking
,0.0,,,,,,,,,,,wore bad shoes
2.0,,,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,med long run
2.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,ativan
2.0,,,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,tough half marathon
2.0,,,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,0.0,massage
0.0,,,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,hot
2.0,,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,had sex
2.0,,,0.0,0.0,0.0,0.0,2.0,0.0,,2.0,0.0,ate breakfast
0.0,,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,mangos
2.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,exercise
