chicken wild rice soup,Vitamins,Phyical Therapy - stretches,espresso,haircut,Fluids,Osteopathy,spicy food,ate breakfast,Daily walk,busy,Ubiquinol,dairy,Exercise--walking,coffee,Aloe Detox Water,talked with family,broken sleep,Turmeric,Flexeril,home alone,bubble and squeak roast,Corticosteroids,Tretinoin,picnic,bed day,Butterbur,Dogs,Coffee,Relaxing,Medical Marijuana,skipped meals,Clinda-derm,slept 12 hours,lots of desk work,excedrin migraine,masturbated,worked out,exercise,Medical marijuana,breathing exercises,Vitamin B,listen to music ,ate salsa,Daytime nap,crafting,Medication,slimfast,Thyroid-Pro,Zomig,drank wine,new environment,Vitamin d,Late lunch,massage,ate unhealthy,family,buses,physical therapy,acupuncture treatment,had sex,Did something scary,ironing,Extra Medications,Metformin,Went out on date,vacation,Therapy,Weather- rain,banana,bbq,shopping,slept >12 hrs,scary new shit,worked in garden,soy or tofu main dish eaten,Tranexamic acid,kid free time,television,Gardening,Quell Unit,exercised,Lazy day,not great sleep,Ate poorly,Meditation,soft drink,Dicyclomine,studied,allergy shot,marijuana,Pantoprazole,Soy Sauce,Fexofenadine,cooked,cooked breakfast,severe pain,lift x2,Zolmitriptan,housework,Valerian,Achy breaky rub,Benadryl,Enada,laundry,Progesterone,Essential oils,no breakfast,walked,Montelukast,no sleep,thai food,Sleep,bone broth,long walk,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chicken wild rice soup
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamins
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phyical Therapy - stretches
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,espresso
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,haircut
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluids
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osteopathy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spicy food
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daily walk
