raining,forgot to enter,hiking,tired,scattered,going outside every day,dizzy,had sex,alcohol,angry,pms,not stressed,not in a rush,exercise,happy,Superlong nap,wasted,good sleep,spent day with others,stressed,not working,i don't even know,row
,,,0.0,,,,2.0,0.0,,,,,2.0,2.0,,,2.0,,0.0,,,raining
,,,0.0,0.0,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,forgot to enter
,,,2.0,,,,0.0,2.0,2.0,,,,,,0.0,,0.0,,2.0,,,hiking
0.0,0.0,2.0,,0.0,0.0,1.11022302463e-16,2.0,1.11022302463e-16,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,1.11022302463e-16,0.0,0.0,tired
,0.0,,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,scattered
,,,0.0,,,0.0,,,,,0.0,0.0,,,,,,0.0,,0.0,,going outside every day
,0.0,,1.11022302463e-16,0.0,0.0,,,,,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,dizzy
2.0,,0.0,2.0,,,,,2.0,2.0,,,,0.0,0.0,0.0,,1.11022302463e-16,,2.0,,,had sex
0.0,,2.0,1.11022302463e-16,,,,2.0,,0.0,,,,2.0,2.0,2.0,,2.0,,1.11022302463e-16,,,alcohol
,,2.0,0.0,,,,2.0,0.0,,,,,,,2.0,,2.0,,0.0,,,angry
,0.0,,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,pms
,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,0.0,,0.0,,not stressed
,,,0.0,,0.0,0.0,,,,,0.0,,,,,,,0.0,,0.0,,not in a rush
2.0,,,2.0,,,,0.0,2.0,,,,,,0.0,,,0.0,,2.0,,,exercise
2.0,,,2.0,,,,0.0,2.0,,,,,0.0,,,,0.0,,2.0,,,happy
,,0.0,2.0,,,,0.0,2.0,2.0,,,,,,,,0.0,,2.0,,,Superlong nap
,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,0.0,wasted
2.0,,0.0,2.0,,,,1.11022302463e-16,2.0,2.0,,,,0.0,0.0,0.0,,,,2.0,,,good sleep
,,,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,,spent day with others
0.0,,2.0,1.11022302463e-16,,,,2.0,1.11022302463e-16,0.0,,,,2.0,2.0,2.0,,2.0,,,,,stressed
,,,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,,,,not working
,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,0.0,,,,,,i don't even know
