Walking,Medication,Yoga,Chiropractic,physical therapy,Vitamin d,Aga,Tacrolimus,Coenzyme q-10,Medications,Dermatologist,neuro,counselor,Exercise,psychiatrists,row
,0.0,0.0,0.0,0.0,2.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Walking
0.0,,0.0,0.0,0.0,2.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Medication
0.0,0.0,,0.0,0.0,2.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Yoga
0.0,0.0,0.0,,0.0,2.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Chiropractic
0.0,0.0,0.0,0.0,,2.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,physical therapy
2.0,2.0,2.0,2.0,2.0,,,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,Vitamin d
,,,,,,,0.0,,,,,,,,Aga
,,,,,,0.0,,,,,,,,,Tacrolimus
2.0,2.0,2.0,2.0,2.0,0.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,Coenzyme q-10
0.0,0.0,0.0,0.0,0.0,2.0,,,2.0,,0.0,0.0,0.0,0.0,0.0,Medications
0.0,0.0,0.0,0.0,0.0,2.0,,,2.0,0.0,,0.0,0.0,0.0,0.0,Dermatologist
0.0,0.0,0.0,0.0,0.0,2.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,neuro
0.0,0.0,0.0,0.0,0.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,counselor
0.0,0.0,0.0,0.0,0.0,2.0,,,2.0,0.0,0.0,0.0,0.0,,0.0,Exercise
0.0,0.0,0.0,0.0,0.0,2.0,,,2.0,0.0,0.0,0.0,0.0,0.0,,psychiatrists
