Dicyclomine,Tretinoin,Tranexamic acid,Vitamins,Phyical Therapy - stretches,Osteopathy,N-Acelcysteine,Butterbur,Pantoprazole,Acetyl Carnitine,Extra Medications,Metformin,Sleep,Exercise,Clonazepam,Creatine,Coffee,Lithium,Prednisone,Relaxing,Zolmitriptan,mag ox,Clinda-derm,Soluble Aspirin,Daily walk,Ubiquinol,Trileptal,Achy breaky rub,Weather- rain,Valerian,Mirtazapine,Sertraline,Benadryl,Enada,Aloe Detox Water,Social interactions,distraction,Hobbies,Fexofenadine,SAD Light Box,Progesterone,Vitamin B,Medication,Magnesium,Iron,Panamax,Wellbutrin,Turmeric,Flexeril,antihistamines,excedrin migraine,Nortriptyline,Zomig,Montelukast,Medical Marijuana,Lyrica,Vitamin d,Meditation,Corticosteroids,massage
,0.0,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,,0.0,
0.0,,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,2.0,,,0.0,,2.0
0.0,0.0,,,,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,,0.0,
2.0,2.0,,,2.0,,,2.0,,,,2.0,,,,,,,,,0.0,,2.0,,,2.0,,,,0.0,,,0.0,2.0,,,,,2.0,,2.0,2.0,2.0,,,,,,2.0,,,,,2.0,,,2.0,,2.0,
,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,
0.0,0.0,,,0.0,2.0,,,,,,0.0,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,
,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,2.0,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,0.0,,,2.0,,0.0
0.0,0.0,,,0.0,2.0,,0.0,,,,,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,,0.0,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,
,,,,,,0.0,,,0.0,,,,,0.0,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,
,,,0.0,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,2.0,,,0.0,,2.0
,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,
,,,,,,0.0,,,0.0,,,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.0,,,2.0,0.0,,2.0,,,,2.0,,,,,,,,,,,2.0,,,2.0,,,,0.0,,,0.0,2.0,,,,,2.0,,2.0,2.0,2.0,,,,,,2.0,,,,,2.0,,,2.0,,2.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,
0.0,0.0,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,,,,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,,0.0,
,,,,,,0.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,
,,,0.0,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,2.0,,,0.0,,2.0
0.0,0.0,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,,,,,,2.0,,,2.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,,0.0,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.0,,,,,,,2.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,2.0,,,0.0,,2.0
2.0,2.0,,,2.0,0.0,,2.0,,,,2.0,,,,,,,,,0.0,,2.0,,,2.0,,,,,,,0.0,2.0,,,,,2.0,,2.0,2.0,2.0,,,,,,2.0,,,,,2.0,,,2.0,,2.0,
,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
2.0,2.0,,,2.0,0.0,,2.0,,,,2.0,,,,,,,,,0.0,,2.0,,,2.0,,,,0.0,,,,2.0,,,,,2.0,,2.0,2.0,2.0,,,,,,2.0,,,,,2.0,,,2.0,,2.0,
0.0,0.0,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,,0.0,
,,,0.0,,,,,,,2.0,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,0.0,,2.0
,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,
0.0,0.0,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,,0.0,
,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,,0.0,
0.0,0.0,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,,0.0,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,0.0,
0.0,0.0,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,0.0,,,0.0,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
,,,,,,0.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
,,,0.0,,,,,,,2.0,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,2.0
0.0,0.0,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,0.0,,0.0,
,,,,,,0.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,
,,,2.0,,,,,,,0.0,,,,,,2.0,,,,,,,,2.0,,,,2.0,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,0.0
