Dicyclomine,Tretinoin,Ritalin,BeachBody OnDemand,Vitamin a,Cyclizine,Voltaren,Vyvanse,Synthroid,Zoladex,Valacyclovir,floravit iron,Valdoxan,Florinef,Eyebright Complex,Lithium,Magnesium gel,pur-absorb iron,Vitamin d,Solifenacin,Montelukast,Fexofenadine,Pataday,Creatine,Clonazepam,Zofran,Clinda-derm,Ecural,Vitamin b12,Soluble Aspirin,vitamin D tablets,Zolmitriptan,Nasonex,Feverfew,DLPA,Valerian,Mirtazapine,Piyo,Valium,Benadryl,linseed,Ranitidine,Probiotic,Buspirone,Tian Ma Tou Tong - headache,Codeine,thyroid support complex,TigerBalm,Progesterone,Spironolactone,Bovine colostrum,Physiotherapy,Magnesium,Iron,Multivitamin,Ondansetron,Panamax,Gabapentin,Ventolin,Migraine Diet,Pain management,Vitamin B,Fish oil,Vitamin B complex - 50,Wei Te Ling - heartburn,Hydrocortisone,digestive enzyme,Standing desk,Ibuprofen,Passionflower,Mezavant,Nortriptyline,Prednisone,row
,2.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,Dicyclomine
2.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,2.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,Tretinoin
,,,0.0,,0.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,0.0,,,,Ritalin
,,0.0,,,0.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,0.0,,,,BeachBody OnDemand
,,,,,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Vitamin a
,,0.0,0.0,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,0.0,,,,Cyclizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voltaren
,,,,0.0,,,,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Vyvanse
,,,,2.0,,,2.0,,2.0,,2.0,2.0,,2.0,0.0,2.0,2.0,2.0,,,,2.0,0.0,0.0,2.0,,0.0,,,,,2.0,,2.0,,2.0,,2.0,,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,,0.0,2.0,,0.0,0.0,,Synthroid
,,,,0.0,,,0.0,2.0,,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Zoladex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valacyclovir
,,,,0.0,,,0.0,2.0,0.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,floravit iron
,,,,0.0,,,0.0,2.0,0.0,,0.0,,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Valdoxan
,,2.0,2.0,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,2.0,,,,2.0,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,2.0,,,,Florinef
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Eyebright Complex
,,,,2.0,,,2.0,0.0,2.0,,2.0,2.0,,2.0,,2.0,2.0,2.0,,,,2.0,0.0,0.0,2.0,,0.0,,,,,2.0,,2.0,,2.0,,2.0,,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,,0.0,2.0,,0.0,0.0,,Lithium
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Magnesium gel
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,pur-absorb iron
