Azathioprine,Omega-3 Capsules,Citalopram,Nortriptyline,Pentasa,MitoQ ,Oestrogel,Gabapentine,co-tenidone,Pantoprazole,Venlafaxine,Zolpidem,Prontolax Supp,row
,,0.0,,0.0,,,,0.0,,,,,Azathioprine
,,,2.0,,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,Omega-3 Capsules
0.0,,,,0.0,,,,0.0,,,,,Citalopram
,2.0,,,,0.0,2.0,0.0,,2.0,0.0,2.0,2.0,Nortriptyline
0.0,,0.0,,,,,,0.0,,,,,Pentasa
,2.0,,0.0,,,2.0,0.0,,2.0,0.0,2.0,2.0,MitoQ 
,0.0,,2.0,,2.0,,2.0,,0.0,2.0,0.0,0.0,Oestrogel
,2.0,,0.0,,0.0,2.0,,,2.0,0.0,2.0,2.0,Gabapentine
0.0,,0.0,,0.0,,,,,,,,,co-tenidone
,0.0,,2.0,,2.0,0.0,2.0,,,2.0,0.0,0.0,Pantoprazole
,2.0,,0.0,,0.0,2.0,0.0,,2.0,,2.0,2.0,Venlafaxine
,0.0,,2.0,,2.0,0.0,2.0,,0.0,2.0,,0.0,Zolpidem
,0.0,,2.0,,2.0,0.0,2.0,,0.0,2.0,0.0,,Prontolax Supp
