Paracatamol with codeine,Home physio exercises,Yoga,Contraceptive pill,Ranitidine,Glutamine,Selenium,Caffeine,Osteopathy,Cetirizine,Albuterol Inhaler,Imodium,Levothyroxine,Amitriptyline,Nasal spray,Metformin,Spasfon,Tetralabs Gold Caps CBN,Ventolin,Coffee,Vitamin D3,Prednisone,Citalopram,Cefaly Unit,Vitamin,Magnesium,Daily walk,Ubiquinol,Physio,electric wheelchair,Topiramate,Uncooked cornstarch,Naproxen,Umeboshi,ponstan,Tetralabs Gold Caps,Calcium citrate,Multi vitamin,Benadryl,Pantoprazole,Prilosec,Mt. Si ACDC 2x Coco Caps,Topamax,Weighted Blanket,Vitamin d,SAD Light Box,Progesterone,Vitamin C,Vitamin B,Migraine herb feverfew tablets,Kuzu,Vitamin b6,Ropinirole,Tranexamic acid,Vitamin b12,Relpax,Magnesium citrate,Esopram,Subling B12,Turmeric,Allegra,Azathioprine,Flexeril,Iodine,Calcium,Duexis,Zomig,Pentasa,psychologist,Heating Pad,aqua therapy,Nuvigil,Methotrexate,Counseling,cocodamol,Tolterodine,Multi-vitamin,row
,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,,,0.0,,,,,0.0,,,,,,,0.0,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,0.0,Paracatamol with codeine
0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,,,0.0,,,,,0.0,,,,,,,0.0,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,0.0,Home physio exercises
,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,2.0,,,,,,2.0,,,,,,,,,,Yoga
,,,,,,2.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Contraceptive pill
,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Ranitidine
,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,1.00610288534,,,,2.0,,,,,,,,,,,,,,,,,,,,1.99710447995,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,Glutamine
,,,2.0,,,,,,,,,0.909989582565,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.839811458557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Selenium
,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,Caffeine
0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,,,0.0,,,,,0.0,,,,,,,0.0,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,0.0,Osteopathy
,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Cetirizine
