Dicyclomine,Tretinoin,Contraceptive pill,gluten free diet,Acetyl Carnitine,Selenium,Florinef,Levothyroxine,Lithium,Soluble Aspirin,N-Acelcysteine,Nasal spray,Fexofenadine,Creatine,Clonazepam,Clinda-derm,Zolmitriptan,Valerian,creative writing,Covocort,Multi vitamin,Benadryl,Stretching,Vitamin C,Deep rest,Panamax,Gabapentin,antihistamines,Sertraline,Nortriptyline,Montelukast,Cardio,Multi-vitamin,row
,0.0,,,,,,,,,,,0.0,,,0.0,2.0,2.0,,,,2.0,,,,,,,,,0.0,,,Dicyclomine
0.0,,,,,,,,,,,,0.0,,,0.0,2.0,2.0,,,,2.0,,,,,,,,,0.0,,,Tretinoin
,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,Contraceptive pill
,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,,gluten free diet
,,,,,,,,2.0,0.0,2.0,,,0.0,2.0,,,,,,,,,,,0.0,,0.0,,2.0,,,,Acetyl Carnitine
,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,Selenium
,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,Florinef
,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,Levothyroxine
,,,,2.0,,,,,2.0,0.0,,,2.0,0.0,,,,,,,,,,,2.0,,2.0,,0.0,,,,Lithium
,,,,0.0,,,,2.0,,2.0,,,0.0,2.0,,,,,,,,,,,0.0,,0.0,,2.0,,,,Soluble Aspirin
,,,,2.0,,,,0.0,2.0,,,,2.0,0.0,,,,,,,,,,,2.0,,2.0,,0.0,,,,N-Acelcysteine
,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,Nasal spray
0.0,0.0,,,,,,,,,,,,,,0.0,2.0,2.0,,,,2.0,,,,,,,,,0.0,,,Fexofenadine
,,,,0.0,,,,2.0,0.0,2.0,,,,2.0,,,,,,,,,,,0.0,,0.0,,2.0,,,,Creatine
,,,,2.0,,,,0.0,2.0,0.0,,,2.0,,,,,,,,,,,,2.0,,2.0,,0.0,,,,Clonazepam
0.0,0.0,,,,,,,,,,,0.0,,,,2.0,2.0,,,,2.0,,,,,,,,,0.0,,,Clinda-derm
2.0,2.0,,,,,,,,,,,2.0,,,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,,Zolmitriptan
2.0,2.0,,,,,,,,,,,2.0,,,2.0,0.0,,,,,0.0,,,,,,,,,2.0,,,Valerian
,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,0.0,,,0.0,,creative writing
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Covocort
,,,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,0.0,,,0.0,,Multi vitamin
2.0,2.0,,,,,,,,,,,2.0,,,2.0,0.0,0.0,,,,,,,,,,,,,2.0,,,Benadryl
,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,0.0,,Stretching
,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Vitamin C
,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,0.0,,,0.0,,Deep rest
,,,,0.0,,,,2.0,0.0,2.0,,,0.0,2.0,,,,,,,,,,,,,0.0,,2.0,,,,Panamax
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabapentin
,,,,0.0,,,,2.0,0.0,2.0,,,0.0,2.0,,,,,,,,,,,0.0,,,,2.0,,,,antihistamines
,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,0.0,,Sertraline
,,,,2.0,,,,0.0,2.0,0.0,,,2.0,0.0,,,,,,,,,,,2.0,,2.0,,,,,,Nortriptyline
0.0,0.0,,,,,,,,,,,0.0,,,0.0,2.0,2.0,,,,2.0,,,,,,,,,,,,Montelukast
,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,,,Cardio
,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,Multi-vitamin
