Ritalin,BeachBody OnDemand,Cyclizine,Florinef,Solifenacin,Darifenacin,Probiotic,digestive enzyme,Ribose,Monteluklast,Feverfew,Carbomer eye drops,alverine,Piyo,SAM-E,TigerBalm,Cetraben cream,Guarana & Ginseng,Ginger,Hydrocortisone,Vitamin b12,Cerelle,Passionflower,row
,,1.0,,1.0,,-1.0,,,,-1.0,,,,,,,,,,-1.0,,-1.0,Ritalin
,,,,,,,,,,,,,,,,,,,,,,,BeachBody OnDemand
1.0,,,,1.0,,-1.0,,,,-1.0,,,,,,,,,,-1.0,,-1.0,Cyclizine
,,,,,,,,,,,,,,,,,,,,,,,Florinef
1.0,,1.0,,,,-1.0,,,,-1.0,,,,,,,,,,-1.0,,-1.0,Solifenacin
,,,,,,,,,,,,,,,,,,,,,,,Darifenacin
-1.0,,-1.0,,-1.0,,,,,,1.0,,,,,,,,,,1.0,,1.0,Probiotic
,,,,,,,,,,,,,,,,,,,,,,,digestive enzyme
,,,,,,,,,,,,,,,,,,,,,,,Ribose
,,,,,,,,,,,,,,,,,,,,,,,Monteluklast
-1.0,,-1.0,,-1.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,Feverfew
,,,,,,,,,,,,,,,,,,,,,,,Carbomer eye drops
,,,,,,,,,,,,,,,,,,,,,,,alverine
,,,,,,,,,,,,,,,,,,,,,,,Piyo
,,,,,,,,,,,,,,,,,,,,,,,SAM-E
,,,,,,,,,,,,,,,,,,,,,,,TigerBalm
,,,,,,,,,,,,,,,,,,,,,,,Cetraben cream
,,,,,,,,,,,,,,,,,,,,,,,Guarana & Ginseng
,,,,,,,,,,,,,,,,,,,,,,,Ginger
,,,,,,,,,,,,,,,,,,,,,,,Hydrocortisone
-1.0,,-1.0,,-1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,Vitamin b12
,,,,,,,,,,,,,,,,,,,,,,,Cerelle
-1.0,,-1.0,,-1.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,Passionflower
