didn't really eat lunch,cooked lunch,computer game,hiking,Cod liver oil,played computer,IVIG,Board games,Vacation,Gabapentin,Sugar,Rehearsals,drank lots of water,had sex,walked,fast food,early night,breakfast,watched tv,took a bath ,Exercise,Vitamin D3,yoga,lots of walking,good breakfast,slept in,cooked breakfast,Zantac,caffeine,sugar,nap,dairy,ate breakfast,Psyllium husk,party,Mirtazapine,slept late,banana,exercise,gaming,coconut milk,Superlong nap,gluten,Social interactions,Excedrin,woke up late,Weighted Blanket,Ligament Restore,gym,stress,SAD Light Box,long walk,busy,Lamictal,no breakfast,Social,sex,distraction,Klonopin,holiday,home alone,listen to music ,didn't eat breakfast,Sertraline,studied,Tramadol,cooked,puppy training,mango,Sleep,made challah,Hobbies,cake,pasta and veggies,Cinema,row
,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,didn't really eat lunch
,,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,cooked lunch
,0.0,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,computer game
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,hiking
,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,2.0,,Cod liver oil
,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,played computer
,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,2.0,,IVIG
,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,Board games
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Vacation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabapentin
