Medications,Yoga,physical therapy,Toprol,breakfast,ate breakfast,yoga,grocery shopping,glutened,did 7 mins of exercise   woohoo,housework,Netflix day,Dermatologist,worked in garden,exercise,Stayed in bed all day,Chiropractic,Superlong nap,neuro,psychiatrists,Exercise,Walking,Medication,Slept most of the day,Coenzyme q-10,Vitamin d,counselor,row
,0.0,0.0,,,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Medications
0.0,,0.0,,,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Yoga
0.0,0.0,,,,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,physical therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,Toprol
,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,breakfast
2.0,2.0,2.0,,0.0,,0.0,0.0,,0.0,0.0,,2.0,0.0,0.00224457387595,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,ate breakfast
2.0,2.0,2.0,,,0.0,,0.0,,0.0,0.0,,2.0,0.0,0.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,yoga
2.0,2.0,2.0,,,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,grocery shopping
,,,,,,,,,,,,,,,,,,,,,,,,,,,glutened
2.0,2.0,2.0,,,0.0,0.0,0.0,,,0.0,,2.0,0.0,0.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,did 7 mins of exercise   woohoo
2.0,2.0,2.0,,,0.0,0.0,0.0,,0.0,,,2.0,0.0,0.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,housework
,,,,,,,,,,,,,,,,,,,,,,,,,,,Netflix day
0.0,0.0,0.0,,,2.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Dermatologist
2.0,2.0,2.0,,,0.0,0.0,0.0,,0.0,0.0,,2.0,,0.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,worked in garden
2.0,2.0,2.0,,0.0,0.00224457387595,0.0,0.0,,0.0,0.0,,2.0,0.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,exercise
2.0,2.0,2.0,,,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,0.0,,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,Stayed in bed all day
0.0,0.0,0.0,,,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,2.0,2.0,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Chiropractic
,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,Superlong nap
0.0,0.0,0.0,,,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,2.0,2.0,0.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,neuro
0.0,0.0,0.0,,,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,2.0,2.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,psychiatrists
0.0,0.0,0.0,,,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,Exercise
0.0,0.0,0.0,,,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,Walking
0.0,0.0,0.0,,,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,Medication
2.0,2.0,2.0,,,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,0.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,Slept most of the day
0.0,0.0,0.0,,,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,Coenzyme q-10
0.0,0.0,0.0,,,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,Vitamin d
0.0,0.0,0.0,,,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,counselor
