Yoga,Low dose pain meds,Caffeine,Cannabis,0.9% Sodium Chloride Solution 1L,Albuterol Inhaler,Vicodin,Prednisone,Low oxalate,Cefaly Unit,Tylenol 3,rebounding,gluten free,Snooze,DEHA,Benadryl,Methylcobalamine,Ranitidine,Trigger Points,Seasonique,Aromatherapy,Vitamin d,Calcium citrate,Vitamin C,Tavegyl,catheter,Turmeric,Maxalt,Cetirizine,Snacks,LUSH acne spot-treatment,Lidocaine Patch,Veggies,Ibuprofen,massage,row
,,,,,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,2.0,2.0,Yoga
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low dose pain meds
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,Caffeine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannabis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,0.9% Sodium Chloride Solution 1L
,,,,,,,,,,,,,,,0.0,,2.0,,,,0.0,0.0,2.0,,,0.0,,2.0,,,,,,,Albuterol Inhaler
2.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,0.0,0.0,Vicodin
2.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,0.0,0.0,Prednisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low oxalate
2.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,0.0,0.0,Cefaly Unit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tylenol 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rebounding
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gluten free
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,Snooze
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEHA
,,,,,0.0,,,,,,,,,,,,2.0,,,,0.0,0.0,2.0,,,0.0,,2.0,,,,,,,Benadryl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methylcobalamine
,,,,,2.0,,,,,,,,,,2.0,,,,,,2.0,2.0,0.0,,,2.0,,0.0,,,,,,,Ranitidine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trigger Points
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seasonique
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aromatherapy
,,,,,0.0,,,,,,,,,,0.0,,2.0,,,,,0.0,2.0,,,0.0,,2.0,,,,,,,Vitamin d
,,,,,0.0,,,,,,,,,,0.0,,2.0,,,,0.0,,2.0,,,0.0,,2.0,,,,,,,Calcium citrate
,,,,,2.0,,,,,,,,,,2.0,,0.0,,,,2.0,2.0,,,,2.0,,0.0,,,,,,,Vitamin C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tavegyl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catheter
,,,,,0.0,,,,,,,,,,0.0,,2.0,,,,0.0,0.0,2.0,,,,,2.0,,,,,,,Turmeric
2.0,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,,0.0,0.0,Maxalt
,,,,,2.0,,,,,,,,,,2.0,,0.0,,,,2.0,2.0,0.0,,,2.0,,,,,,,,,Cetirizine
,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,Snacks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUSH acne spot-treatment
0.0,,,,,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,2.0,Lidocaine Patch
,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,Veggies
2.0,,,,2.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,0.0,Ibuprofen
2.0,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,0.0,,massage
