Ritalin,Vitamins,BeachBody OnDemand,Ecural,Cyclizine,Selenium,Acetyl Carnitine,Albuterol Inhaler,Florinef,Levothyroxine,Soluble Aspirin,Vitamin d,Solifenacin,Darifenacin,SAM-E,Creatine,digestive enzyme,Ribose,Monteluklast,Feverfew,Carbomer eye drops,alverine,Piyo,Benadryl,Ranitidine,Probiotic,Stretching,TigerBalm,Calcium citrate,Vitamin C,antihistamines,Physiotherapy,linseed,Panamax,Cetraben cream,Turmeric,Cetirizine,Guarana & Ginseng,Ginger,Hydrocortisone,Vitamin b12,Standing desk,Cerelle,Passionflower,row
,,0.0,,0.0227538596095,,,,2.0,,,,0.0715222059442,0.0,0.0,,2.0,0.0,0.0,0.00170681576128,0.0,0.0,0.0,,,0.00809050639862,,0.0,,,,,,,0.0,,,0.0,0.0,2.0,0.00809050639862,,0.0,0.00809050639862,Ritalin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamins
0.0,,,,0.0,,,,2.0,,,,0.0,,,,2.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,2.0,0.0,,,0.0,BeachBody OnDemand
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,Ecural
0.0227538596095,,0.0,,,,,,2.0,,,,0.0138741553889,0.0,0.0,,2.0,0.0,0.0,0.0120344196253,0.0,0.0,0.0,,,0.0037337352785,,0.0,,,,,,,0.0,,,0.0,0.0,2.0,0.0037337352785,,0.0,0.0037337352785,Cyclizine
,,,,,,,,,1.39391929858,,,,,,,,,,,,,,,,,,,,1.39391929858,,,,,,,,,,,,,,,Selenium
,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,Acetyl Carnitine
,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,Albuterol Inhaler
2.0,,2.0,,2.0,,,,,,,,2.0,,,,0.0,,,2.0,,,2.0,,,2.0,,2.0,,,,,,,,,,,,0.0,2.0,,,2.0,Florinef
,,,,,1.39391929858,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,Levothyroxine
,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,Soluble Aspirin
,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,Vitamin d
