Dancing,Lithium,Magnesium gel,Ranitidine,Prednisone,Creatine,Clonazepam,Cefaly Unit,Ecural,Synthroid,Mt. Si ACDC 2x Coco Caps,Probiotic,Trigger Points,Physiotherapy,linseed,Sisu B Calm,Flexeril,Fish oil,Standing desk,Vitamin d,Mezavant,Nortriptyline,row
,,,,,,,,,,,,0.0,,,2.0,,,,,,,Dancing
,,0.0,0.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,Lithium
,0.0,,0.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,Magnesium gel
,0.0,0.0,,,2.0,0.0,,2.0,0.0,,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,Ranitidine
,,,,,,,,,,,,,,,,,,,,,,Prednisone
,2.0,2.0,2.0,,,2.0,,0.0,2.0,,2.0,,2.0,2.0,,,2.0,0.0,2.0,2.0,2.0,Creatine
,0.0,0.0,0.0,,2.0,,,2.0,0.0,,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,Clonazepam
,,,,,,,,,,2.0,,,,,,2.0,,,,,,Cefaly Unit
,2.0,2.0,2.0,,0.0,2.0,,,2.0,,2.0,,2.0,2.0,,,2.0,0.0,2.0,2.0,2.0,Ecural
,0.0,0.0,0.0,,2.0,0.0,,2.0,,,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,Synthroid
,,,,,,,2.0,,,,,,,,,0.0,,,,,,Mt. Si ACDC 2x Coco Caps
,0.0,0.0,0.0,,2.0,0.0,,2.0,0.0,,,,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,Probiotic
0.0,,,,,,,,,,,,,,,2.0,,,,,,,Trigger Points
,0.0,0.0,0.0,,2.0,0.0,,2.0,0.0,,0.0,,,0.0,,,0.0,2.0,0.0,0.0,0.0,Physiotherapy
,0.0,0.0,0.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,,,,0.0,2.0,0.0,0.0,0.0,linseed
2.0,,,,,,,,,,,,2.0,,,,,,,,,,Sisu B Calm
,,,,,,,2.0,,,0.0,,,,,,,,,,,,Flexeril
,0.0,0.0,0.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,0.0,,,,2.0,0.0,0.0,0.0,Fish oil
,2.0,2.0,2.0,,0.0,2.0,,0.0,2.0,,2.0,,2.0,2.0,,,2.0,,2.0,2.0,2.0,Standing desk
,0.0,0.0,0.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,0.0,,,0.0,2.0,,0.0,0.0,Vitamin d
,0.0,0.0,0.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,0.0,,,0.0,2.0,0.0,,0.0,Mezavant
,0.0,0.0,0.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,,Nortriptyline
