ate well,Nasal spray,Superlong nap,Ate healthy,lots of walking,Contraceptive pill,Lymphatic massage,shopping,Valcyte,Selenium,Vitamin C,nap,had sex,Levothyroxine,Gardening,Valtrex,ate breakfast,Multi-vitamin,row
,,,,,,,,,,,,,,,,,,ate well
,,,,,,,,,,,,,,,,,,Nasal spray
,,,,,,,,,,,,,,,,,,Superlong nap
,,,,,,,,,,,,,,,,,,Ate healthy
,,,,,,,,,,,,,,,,,,lots of walking
,,,,,,,,,,,,,,,,,,Contraceptive pill
,,,,,,,,,,,,,,,,,,Lymphatic massage
,,,,,,,,,,,,,,,,,,shopping
,,,,,,,,,,,,,,,,,,Valcyte
,,,,,,,,,,-1.0,,,-1.0,,,,,Selenium
,,,,,,,,,-1.0,,,,1.0,,,,,Vitamin C
,,,,,,,,,,,,,,,,,,nap
,,,,,,,,,,,,,,,,,,had sex
,,,,,,,,,-1.0,1.0,,,,,,,,Levothyroxine
,,,,,,,,,,,,,,,,,,Gardening
,,,,,,,,,,,,,,,,,,Valtrex
,,,,,,,,,,,,,,,,,,ate breakfast
,,,,,,,,,,,,,,,,,,Multi-vitamin
