Codeine-Panadol,Valdoxan,Boswelia,Vyvanse,Acetyl Carnitine,Lithium,Soluble Aspirin,N-Acelcysteine,Aspirin,Nasonex,Prednisone,Creatine,Clonazepam,Zofran,Buspirone,antihistamines,Valium,Ventolin,Antihistamine,Codeine,Spironolactone,Vitamin B,Temazepam,Probiotics,Magnesium,Iron,Flutiform,Boswelia Complex,Panamax,Zoladex,Voltaren,Nortriptyline,Vitamin a,Athlete Vitamin,Ibuprofen,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Codeine-Panadol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valdoxan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boswelia
,,,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,2.0,0.0,,0.0,,,,Vyvanse
,,,0.0,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,2.0,0.0,,0.0,,,,Acetyl Carnitine
,,,0.0,0.0,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,2.0,0.0,,0.0,,,,Lithium
,,,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,,,,,,2.0,,0.0,2.0,,2.0,,,,Soluble Aspirin
,,,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,2.0,0.0,,0.0,,,,N-Acelcysteine
,,,0.0,0.0,0.0,2.0,0.0,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,2.0,0.0,,0.0,,,,Aspirin
,,,0.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,2.0,0.0,,0.0,,,,Nasonex
,,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,,,,,,2.0,,0.0,2.0,,2.0,,,,Prednisone
,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,2.0,0.0,,0.0,,,,Creatine
,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,2.0,0.0,,0.0,,,,Clonazepam
,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,2.0,0.0,,0.0,,,,Zofran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buspirone
,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,,,0.0,,2.0,0.0,,0.0,,,,antihistamines
,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,,,0.0,,2.0,0.0,,0.0,,,,Valium
,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,,2.0,0.0,,0.0,,,,Ventolin
,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,2.0,0.0,,0.0,,,,Antihistamine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Codeine
,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,2.0,0.0,,0.0,,,,Spironolactone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temazepam
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Probiotics
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnesium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iron
,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,2.0,0.0,,0.0,,,,Flutiform
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boswelia Complex
,,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,,,,,,2.0,,,2.0,,2.0,,,,Panamax
,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,2.0,,,0.0,,,,Zoladex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voltaren
,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,2.0,0.0,,,,,,Nortriptyline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athlete Vitamin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
