Wear shoulder brace,Oxynorm,Ambien CR,Freezie wrap,More stretching,Norco,Zofran,dairy free,Hydroxyzine,gluten free,Protecting back,heating pads,Lying flat,Miralax low dose at night,cocodamol,drawing,row
,,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,,Wear shoulder brace
,,,,,,,,,,,,,,,,Oxynorm
,,,,,,,,,,,,,,,,Ambien CR
0.0,,,,0.0,,,0.0,,,0.0,,0.0,0.0,,,Freezie wrap
0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,,,More stretching
,,,,,,,,,,,,,,,,Norco
,,,,,,,,,,,,,,,,Zofran
0.0,,,0.0,0.0,,,,,,0.0,,0.0,0.0,,,dairy free
,,,,,,,,,,,,,,,,Hydroxyzine
,,,,,,,,,,,,,,,,gluten free
0.0,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,Protecting back
,,,,,,,,,,,,,,,,heating pads
0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,Lying flat
0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,,Miralax low dose at night
,,,,,,,,,,,,,,,,cocodamol
,,,,,,,,,,,,,,,,drawing
