Solifenacin,Superlong nap,Ritalin,amphetamine salts,Probiotic,slept not alone,Cyclizine,went to bed too late,scary new shit,Gelatin,Vitamin b12,Feverfew,Carbomer eye drops,Cerelle,Borage oil,dairy,Passionflower,had sex last night,Cetraben cream,row
,,,,,,,,,,,,,,,,,,,Solifenacin
,,,,,,,,,,,,,,,,,,,Superlong nap
,,,,,,,,,,,,,,,,,,,Ritalin
,,,,,,,,,,,,,,,,,,,amphetamine salts
,,,,,,,,,,,,,,,,,,,Probiotic
,,,,,,,,,,,,,,,,,,,slept not alone
,,,,,,,,,,,,,,,,,,,Cyclizine
,,,,,,,,,,,,,,,,,,,went to bed too late
,,,,,,,,,,,,,,,,,,,scary new shit
,,,,,,,,,,,,,,,,,,,Gelatin
,,,,,,,,,,,,,,,,,,,Vitamin b12
,,,,,,,,,,,,,,,,,,,Feverfew
,,,,,,,,,,,,,,,,,,,Carbomer eye drops
,,,,,,,,,,,,,,,,,,,Cerelle
,,,,,,,,,,,,,,,,,,,Borage oil
,,,,,,,,,,,,,,,,,,,dairy
,,,,,,,,,,,,,,,,,,,Passionflower
,,,,,,,,,,,,,,,,,,,had sex last night
,,,,,,,,,,,,,,,,,,,Cetraben cream
