Coconut Oil Pulling,amphetamine salts,hiking,travel,Codeine,marijuana,exercise,Gelatin,Dexedrine,Borage oil,Adderall,day at home,social gathering,slept 7 hours,row
,,,,,,,2.0,,2.0,,,,,Coconut Oil Pulling
,,,,,,,2.0,,2.0,,,,,amphetamine salts
,,,,,,,,,,,,,,hiking
,,,,,,,,,,,,,,travel
,,,,,,,,,,,,,,Codeine
,,,,,,,,,,,,,,marijuana
,,,,,,,,,,,,,,exercise
2.0,2.0,,,,,,,,2.22044604925e-16,,,,,Gelatin
,,,,,,,,,,,,,,Dexedrine
2.0,2.0,,,,,,2.22044604925e-16,,,,,,,Borage oil
,,,,,,,,,,,,,,Adderall
,,,,,,,,,,,,,,day at home
,,,,,,,,,,,,,,social gathering
,,,,,,,,,,,,,,slept 7 hours
