chicken wild rice soup,Phyical Therapy - stretches,Osteopathy,ate breakfast,busy,Ubiquinol,sugar,normal sleep,Lazy day,coffee,goat cheese,Ginkgo,Flexeril,Slept most of the day,salad,home alone,ate popcorn,bubble and squeak roast,Corticosteroids,Tretinoin,picnic,bed day,Butterbur,Relaxing,grocery shopping,no sleep,skipped meals,Clinda-derm,lots of desk work,excedrin migraine,broken sleep,exercise,eat two Luna bars,Superlong nap,Vitamin B,listen to music ,ate salsa,Daytime nap,Gabapentin,crafting,Medication,slimfast,studied,drank wine,new environment,Vitamin d,Late lunch,cheese,buses,physical therapy,acupuncture treatment,ironing,Metformin,spinach,Went out on date,vacation,worked in garden,banana,bbq,shopping,slept >12 hrs,scary new shit,soy or tofu main dish eaten,Tranexamic acid,Gardening,exercised,not great sleep,gluten free prezels,soft drink,Dicyclomine,Zomig,allergy shot,marijuana,Pantoprazole,Soy Sauce,Fexofenadine,cooked breakfast,severe pain,lift x2,Zolmitriptan,Valerian,Achy breaky rub,party,Benadryl,Enada,laundry,Hiked,Progesterone,no breakfast,one coffee,walked,Montelukast,thai food,bone broth,long walk,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chicken wild rice soup
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phyical Therapy - stretches
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osteopathy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate breakfast
,,,,,,,,,,,,,,,,,,,-1.0,,1.0,,,,,,-1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,-1.0,,,,1.0,-1.0,,,-1.0,,,,,,,,-1.0,,,,busy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubiquinol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sugar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lazy day
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee
