Dicyclomine,Tretinoin,Yoga,Buteyko  breathing exercises ,gluten free diet,Phyical Therapy - stretches,Fluvoxamine,Osteopathy,Midodrine,Pantoprazole,Amitriptyline,mountain biking,Metformin,Exercise,Tyrosine,Fexofenadine,Prednisone,Relaxing,Methylphenidate,Clinda-derm,excedrin migraine,Plaquenil,Achy breaky rub,Topiramate,Enada,Chiropractic,Seasonique,Progesterone,Vitamin B,Ropinirole,Magnesium,Tranexamic acid,Tavegyl,Maxalt,Medication,Love,Voltaren,Zomig,Montelukast,Ultrasound,Cane to get down stairs,Ibuprofen,Corticosteroids,massage,Vicodin,row
,0.0,,,,2.0,,0.0,,2.0,,,0.0,,,0.0,,2.0,,0.0,0.0,,2.0,,0.0,,,2.0,2.0,,,2.0,,,0.0,,,0.0,0.0,,,,0.0,,,Dicyclomine
0.0,,,,,2.0,,0.0,,2.0,,,0.0,,,0.0,,2.0,,0.0,0.0,,2.0,,0.0,,,2.0,2.0,,,2.0,,,0.0,,,0.0,0.0,,,,0.0,,,Tretinoin
,,,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,,2.0,,0.0,,,0.0,,0.0,,0.0,2.0,,,0.0,0.0,,0.0,2.0,,0.0,0.0,,,0.0,0.0,2.0,,0.0,2.0,Yoga
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buteyko  breathing exercises 
,,0.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,,,,gluten free diet
2.0,2.0,,,,,,2.0,,0.0,,,2.0,,,2.0,,0.0,,2.0,2.0,,0.0,,2.0,,,0.0,0.0,,,0.0,,,2.0,,,2.0,2.0,,,,2.0,,,Phyical Therapy - stretches
,,0.0,,0.0,,,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,,,,Fluvoxamine
0.0,0.0,,,,2.0,,,,2.0,,,0.0,,,0.0,,2.0,,0.0,0.0,,2.0,,0.0,,,2.0,2.0,,,2.0,,,0.0,,,0.0,0.0,,,,0.0,,,Osteopathy
,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,,,,Midodrine
2.0,2.0,,,,0.0,,2.0,,,,,2.0,,,2.0,,0.0,,2.0,2.0,,0.0,,2.0,,,0.0,0.0,,,0.0,,,2.0,,,2.0,2.0,,,,2.0,,,Pantoprazole
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amitriptyline
,,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,,,,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,,,,mountain biking
0.0,0.0,,,,2.0,,0.0,,2.0,,,,,,0.0,,2.0,,0.0,0.0,,2.0,,0.0,,,2.0,2.0,,,2.0,,,0.0,,,0.0,0.0,,,,0.0,,,Metformin
