Dicyclomine,Tretinoin,Zantac,Prilosec,pur-absorb iron,Claritin,Citalopram,Clinda-derm,Zolmitriptan,Topiramate,Citrucel,Benadryl,Fexofenadine,Valerian,Spironolactone,Dinner,Steps,Magnesium,Gabapentin,Fish oil,Montelukast,Vitamin d,Prednesone,massage,row
,2.0,,,,,,0.0,0.0,,,2.0,0.0,2.0,,,,,0.0,,0.0,,,,Dicyclomine
2.0,,,,,,,2.0,2.0,,,0.0,2.0,0.0,,,,,2.0,,2.0,,,,Tretinoin
,,,0.0,2.0,0.0,2.0,,,2.0,2.0,,,,2.0,2.0,0.0,0.0,,0.0,,2.0,2.0,0.0,Zantac
,,0.0,,2.0,0.0,2.0,,,2.0,2.0,,,,2.0,2.0,0.0,0.0,,0.0,,2.0,2.0,0.0,Prilosec
,,2.0,2.0,,2.0,0.0,,,0.0,0.0,,,,0.0,0.0,2.0,2.0,,2.0,,0.0,0.0,2.0,pur-absorb iron
,,0.0,0.0,2.0,,2.0,,,2.0,2.0,,,,2.0,2.0,0.0,0.0,,0.0,,2.0,2.0,0.0,Claritin
,,2.0,2.0,0.0,2.0,,,,0.0,0.0,,,,0.0,0.0,2.0,2.0,,2.0,,0.0,0.0,2.0,Citalopram
0.0,2.0,,,,,,,0.0,,,2.0,0.0,2.0,,,,,0.0,,0.0,,,,Clinda-derm
0.0,2.0,,,,,,0.0,,,,2.0,0.0,2.0,,,,,0.0,,0.0,,,,Zolmitriptan
,,2.0,2.0,0.0,2.0,0.0,,,,0.0,,,,0.0,0.0,2.0,2.0,,2.0,,0.0,0.0,2.0,Topiramate
,,2.0,2.0,0.0,2.0,0.0,,,0.0,,,,,0.0,0.0,2.0,2.0,,2.0,,0.0,0.0,2.0,Citrucel
2.0,0.0,,,,,,2.0,2.0,,,,2.0,0.0,,,,,2.0,,2.0,,,,Benadryl
0.0,2.0,,,,,,0.0,0.0,,,2.0,,2.0,,,,,0.0,,0.0,,,,Fexofenadine
2.0,0.0,,,,,,2.0,2.0,,,0.0,2.0,,,,,,2.0,,2.0,,,,Valerian
,,2.0,2.0,0.0,2.0,0.0,,,0.0,0.0,,,,,0.0,2.0,2.0,,2.0,,0.0,0.0,2.0,Spironolactone
,,2.0,2.0,0.0,2.0,0.0,,,0.0,0.0,,,,0.0,,2.0,2.0,,2.0,,0.0,0.0,2.0,Dinner
,,0.0,0.0,2.0,0.0,2.0,,,2.0,2.0,,,,2.0,2.0,,0.0,,0.0,,2.0,2.0,0.0,Steps
,,0.0,0.0,2.0,0.0,2.0,,,2.0,2.0,,,,2.0,2.0,0.0,,,0.0,,2.0,2.0,0.0,Magnesium
0.0,2.0,,,,,,0.0,0.0,,,2.0,0.0,2.0,,,,,,,0.0,,,,Gabapentin
,,0.0,0.0,2.0,0.0,2.0,,,2.0,2.0,,,,2.0,2.0,0.0,0.0,,,,2.0,2.0,0.0,Fish oil
0.0,2.0,,,,,,0.0,0.0,,,2.0,0.0,2.0,,,,,0.0,,,,,,Montelukast
,,2.0,2.0,0.0,2.0,0.0,,,0.0,0.0,,,,0.0,0.0,2.0,2.0,,2.0,,,0.0,2.0,Vitamin d
,,2.0,2.0,0.0,2.0,0.0,,,0.0,0.0,,,,0.0,0.0,2.0,2.0,,2.0,,0.0,,2.0,Prednesone
,,0.0,0.0,2.0,0.0,2.0,,,2.0,2.0,,,,2.0,2.0,0.0,0.0,,0.0,,2.0,2.0,,massage
