migraine yesterday,Started B12,good spirits,saw doctor,tired,good sleep,low motivation,functional,Runny stomach ,Tossed and turned all night,Exercised,Sam's birthday - lots of sugar,Florinef,infusion,Nia Class,good concentration,dislocation,Alert,fine,ear ache,depression,Happy,not hungry,trouble getting up,Bored,Pain,cleaned house,no sleep,angry,great pain all over,Starting my Flaredown log today!,treatment,Emotional,crisis,bedridden,Took 10 mg every hour,Lethargic,Okay,parents,Symptoms started at 5am,Covocort,Stomach hurts,lethargic,happy,shiatsu,busy,Superlong nap,Hand shaking,No Energy,incident,Fatigued,stressed,No Appitite,cluster headache,wicked back pain,cigarettes,Muscle weakness,excellent,emotional stress,sad,very symptomatic,Muscle Tiredness,Cold ,Gym class,anxiety,Cried,depressed,Neck & shoulder tension,Alcohol previous night,walked,very low energy,anxious,"so far, so good",didn't sleep,hopeless,Skipped gym,Irritable,in pain,emotional,got the job!,cold weather,row
,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,2.0,2.0,,,0.0,,,,,,,0.0,,,,,2.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,,,,2.0,0.0,,,,,0.0,,,,0.0,,,,,,,migraine yesterday
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Started B12
0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,2.0,2.0,,,0.0,,,,,,,0.0,,,,,2.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,,,,2.0,0.0,,,,,0.0,,,,0.0,,,,,,,good spirits
0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,2.0,2.0,,,0.0,,,,,,,0.0,,,,,2.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,,,,2.0,0.0,,,,,0.0,,,,0.0,,,,,,,saw doctor
,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,tired
0.0,,0.0,0.0,,,0.0,,0.0,0.056764660836,0.0,0.0672969149564,1.11022302463e-16,2.0,2.0,0.0,,0.292893218813,,,,,0.0,,0.0169397010558,,,0.0,,2.0,,0.0,0.105572809,,,0.080854969982,0.105572809,,0.0,0.0,2.0,,2.0,0.000153857990044,0.0,2.22044604925e-16,0.0,0.0,0.0,,,,,0.08378040175,,,0.0616568831829,0.0,,0.0,0.0,0.0,,0.0,2.0,0.233685529964,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,,,,,good sleep
0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,2.0,2.0,,,0.0,,,,,,,0.0,,,,,2.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,,,,2.0,0.0,,,,,0.0,,,,0.0,,,,,,,low motivation
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,functional
,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,2.0,,2.0,0.0,,0.0,,0.0,,,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,2.0,0.0,0.0,,,0.0,,0.0,,0.0,2.0,,,,,Runny stomach 
0.0,,0.0,0.0,,0.056764660836,0.0,,0.0,,0.0,0.240020816996,0.056764660836,2.0,2.0,0.0,,0.0981839712754,,,,,0.0,,0.0118700870141,,,0.0,,2.0,,0.0,0.304875533953,,,0.263860419954,0.304875533953,,0.0,0.0,2.0,,2.0,0.0510839251403,0.0,0.056764660836,0.0,0.0,0.0,,,,,0.00271457017372,,,0.000104178370874,0.0,,0.0,0.0,0.0,,0.0,2.0,0.49056409726,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,,,,,Tossed and turned all night
