Vitamin D3,home alone,Cod liver oil,Excedrin,IVIG,Ligament Restore,cake,Psyllium husk,Zantac,pasta and veggies,row
,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,Vitamin D3
0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,home alone
0.0,0.0,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,Cod liver oil
2.0,2.0,2.0,,0.0,0.0,2.0,2.0,2.0,2.0,Excedrin
2.0,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,IVIG
2.0,2.0,2.0,0.0,0.0,,2.0,2.0,2.0,2.0,Ligament Restore
0.0,0.0,0.0,2.0,2.0,2.0,,0.0,0.0,0.0,cake
0.0,0.0,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,Psyllium husk
0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,Zantac
0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,,pasta and veggies
