rebounding,Trigger Points,Methylcobalamine,Zyrtec,Cannabis,mag ox,LUSH acne spot-treatment,Low oxalate,Tylenol 3,gluten free,Aromatherapy,Vitamin b12,Albuterol,Trileptal,massage,Ibuprofen,Tavegyl,DEHA,Wellbutrin,row
,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,,rebounding
0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,,Trigger Points
0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,,Methylcobalamine
,,,,,,,,,,,,2.0,,,,,,,Zyrtec
0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,,Cannabis
,,,,,,,,,,,,,0.0,,,,,0.0,mag ox
0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,,LUSH acne spot-treatment
0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,,Low oxalate
0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,2.0,,Tylenol 3
0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,2.0,,gluten free
0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,2.0,,Aromatherapy
0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,2.0,,Vitamin b12
,,,2.0,,,,,,,,,,,,,,,,Albuterol
,,,,,0.0,,,,,,,,,,,,,0.0,Trileptal
0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,2.0,,massage
,,,,,,,,,,,,,,,,,,,Ibuprofen
0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,2.0,,Tavegyl
2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,,,DEHA
,,,,,0.0,,,,,,,,0.0,,,,,,Wellbutrin
