Ritalin,Cyclizine,0.9% Sodium Chloride Solution 1L,Solifenacin,Forever Aloe Berry,Darifenacin,Probiotic,Zofran,Ribose,Monteluklast,Buspirone,Feverfew,Carbomer eye drops,alverine,SAM-E,Ibuprofen,Garden of Life Raw Meal,Cetraben cream,Spironolactone,Guarana & Ginseng,Ginger,Vitamin b12,Cerelle,Passionflower,row
,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,Ritalin
0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,Cyclizine
,,,,,,,,,,,,,,,0.0,,,,,,,,,0.9% Sodium Chloride Solution 1L
,,,,,,,,,,,,,,,,,,,,,,,,Solifenacin
,,,,,,,,,,,,,,,,0.0,,,,,,,,Forever Aloe Berry
0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,Darifenacin
0.0,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,Probiotic
,,,,,,,,,,1.61594955136e-05,,,,,,,,1.61594955135e-05,,,,,,Zofran
0.0,0.0,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,Ribose
0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,Monteluklast
,,,,,,,1.61594955136e-05,,,,,,,,,,,3.33066907388e-16,,,,,,Buspirone
0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,Feverfew
0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,Carbomer eye drops
0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,alverine
0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,SAM-E
,,0.0,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
,,,,0.0,,,,,,,,,,,,,,,,,,,,Garden of Life Raw Meal
0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,Cetraben cream
,,,,,,,1.61594955135e-05,,,3.33066907388e-16,,,,,,,,,,,,,,Spironolactone
0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,Guarana & Ginseng
0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,Ginger
0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,Vitamin b12
0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,Cerelle
0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,Passionflower
