Diazepam,Home physio exercises,Ex bike,Prilosec,Osteopathy,Naproxen,aqua therapy,Imodium,Metformin,Ventolin,pilates,Solpadeine Max,Prednisone,Citalopram,Daily walk,Physio,Topiramate,Solpadol,ponstan,Paracatamol with codeine,Pantoprazole,Ranitidine,Progesterone,Vitamin B,Migraine herb feverfew tablets,Steps,Magnesium,Tranexamic acid,Solpadeine,Zomig,cough syrup,psychologist,Rest,Sleep,Methotrexate,Meditation,Multi-vitamin,row
,,0.0,,,0.0,,,,,0.0,,,,2.0,,,,,,,,,,,0.0,,,,,2.0,,0.0,0.0,,0.0,,Diazepam
,,,2.0,2.0,,2.0,2.0,2.0,,,,,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,0.0,,2.0,,,,,2.0,Home physio exercises
0.0,,,,,0.0,,,,,0.0,,,,2.0,,,,,,,,,,,0.0,,,,,2.0,,0.0,0.0,,0.0,,Ex bike
,2.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,,0.0,,,,,0.0,Prilosec
,2.0,,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,,0.0,,,,,0.0,Osteopathy
0.0,,0.0,,,,,,,,0.0,,,,2.0,,,,,,,,,,,0.0,,,,,2.0,,0.0,0.0,,0.0,,Naproxen
,2.0,,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,,0.0,,,,,0.0,aqua therapy
,2.0,,0.0,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,,0.0,,,,,0.0,Imodium
,2.0,,0.0,0.0,,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,,0.0,,,,,0.0,Metformin
,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,,Ventolin
0.0,,0.0,,,0.0,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,,2.0,,0.0,0.0,,0.0,,pilates
,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,,Solpadeine Max
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,2.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,,0.0,,,,,0.0,Citalopram
2.0,,2.0,,,2.0,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,0.0,,2.0,2.0,,2.0,,Daily walk
,2.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,,0.0,,,,,0.0,Physio
,2.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,,0.0,,,,,0.0,Topiramate
,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,Solpadol
,2.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,,0.0,,,,,0.0,ponstan
,2.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,,0.0,,,,,0.0,Paracatamol with codeine
,2.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,,0.0,,,,,0.0,Pantoprazole
,2.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,2.0,,0.0,,,,,0.0,Ranitidine
,2.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.0,,0.0,,,,,0.0,Progesterone
,2.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,,,,,0.0,Vitamin B
,2.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,,0.0,,,,,0.0,Migraine herb feverfew tablets
0.0,,0.0,,,0.0,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,2.0,,0.0,0.0,,0.0,,Steps
,2.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,2.0,,0.0,,,,,0.0,Magnesium
,2.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,2.0,,0.0,,,,,0.0,Tranexamic acid
,,,,,,,,,2.0,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,Solpadeine
,0.0,,2.0,2.0,,2.0,2.0,2.0,,,,,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,,2.0,,,,,2.0,Zomig
2.0,,2.0,,,2.0,,,,,2.0,,,,0.0,,,,,,,,,,,2.0,,,,,,,2.0,2.0,,2.0,,cough syrup
,2.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,,,,,,,0.0,psychologist
0.0,,0.0,,,0.0,,,,,0.0,,,,2.0,,,,,,,,,,,0.0,,,,,2.0,,,0.0,,0.0,,Rest
0.0,,0.0,,,0.0,,,,,0.0,,,,2.0,,,,,,,,,,,0.0,,,,,2.0,,0.0,,,0.0,,Sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methotrexate
0.0,,0.0,,,0.0,,,,,0.0,,,,2.0,,,,,,,,,,,0.0,,,,,2.0,,0.0,0.0,,,,Meditation
,2.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,,0.0,,,,,,Multi-vitamin
