Daveless,lonely,Errands,Dinner with Janet,Rest,Dentist,Dinner with Becky,had sex,Infection,GR ,OKC ,Back Home ,Car Shop,Massage,feel guilty,row
,0.0,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,Daveless
0.0,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,lonely
,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,Errands
,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,Dinner with Janet
,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,,Rest
0.0,0.0,,,,,,0.0,0.0,,,,0.0,0.0,0.0,Dentist
,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,Dinner with Becky
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,had sex
0.0,0.0,,,,0.0,,0.0,,,,,0.0,0.0,0.0,Infection
,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,,GR 
,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,OKC 
,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,Back Home 
0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,Car Shop
0.0,0.0,,,,0.0,,0.0,0.0,,,,0.0,,0.0,Massage
0.0,0.0,,,,0.0,,0.0,0.0,,,,0.0,0.0,,feel guilty
