Triamcinolone,Vitamin d,Prednisone,Social interactions,Medical Marijuana,Sertraline,Creatine,Ecural,SAD Light Box,Physiotherapy,Sleep,linseed,Standing desk,Hobbies,distraction,Exercise,Mirtazapine,row
,,,,,,,,,,,,,,,,,Triamcinolone
,,,,,,,,,,,,,,,,,Vitamin d
,,,,,,,,,,,,,,,,,Prednisone
,,,,,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,Social interactions
,,,,,,,,,,,,,,,,,Medical Marijuana
,,,0.0,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,Sertraline
,,,,,,,,,,,,,,,,,Creatine
,,,,,,,,,,,,,,,,,Ecural
,,,0.0,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,SAD Light Box
,,,,,,,,,,,,,,,,,Physiotherapy
,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0,Sleep
,,,,,,,,,,,,,,,,,linseed
,,,,,,,,,,,,,,,,,Standing desk
,,,0.0,,0.0,,,0.0,,0.0,,,,0.0,0.0,0.0,Hobbies
,,,0.0,,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,distraction
,,,0.0,,0.0,,,0.0,,0.0,,,0.0,0.0,,0.0,Exercise
,,,0.0,,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,,Mirtazapine
