Yoga,gluten free diet,Fluvoxamine,hot water bottle,Burbur-Pinella,Vicodin,Low Dose Naltrexone,Tyrosine,Prednisone,Methylphenidate,Lavender oil,N-acetyl cysteine,Plaquenil,Magnesium malate,Green Vibrance,Epsom Salts,Seasonique,Topiramate,Voltaren,Magnesium,Midodrine,Selenium,Gaba,Maxalt,CuraMed,Cane to get down stairs,Ibuprofen,Inositol,massage,Ropinirole,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yoga
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gluten free diet
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluvoxamine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hot water bottle
,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,,0.0,,,Burbur-Pinella
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicodin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low Dose Naltrexone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrosine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methylphenidate
,,,,0.0,,,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,,0.0,,,Lavender oil
,,,,0.0,,,,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,,0.0,,,N-acetyl cysteine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plaquenil
,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,,0.0,,,Magnesium malate
,,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,,0.0,,,Green Vibrance
,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,,0.0,,,0.0,,,Epsom Salts
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seasonique
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Topiramate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voltaren
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnesium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midodrine
,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,,0.0,,,0.0,,,Selenium
,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,Gaba
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxalt
,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,,CuraMed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cane to get down stairs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,,,,,Inositol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,massage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ropinirole
