allergy shot,Physio,Ativan,ate breakfast,nap,no sleep last night,pilates,lots of walking,climbed stairs,vacation,housework,broken sleep,Aspirin,slept late,exercise,wore bad shoes,Superlong nap,Daytime nap,benadryl ,spent day with others,slept in,walked,no sleep,new environment,Late lunch,Ate junk food,row
,0.0,,,,,2.0,,,0.0,2.0,2.0,2.0,,,,,0.0,,2.0,,0.0,,2.0,0.0,0.0,allergy shot
0.0,,,,,,2.0,,,0.0,2.0,2.0,2.0,,,,,0.0,,2.0,,0.0,,2.0,0.0,0.0,Physio
,,,0.0,0.0,0.0,,0.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,,,,Ativan
,,0.0,,0.0,0.0,,0.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,,,,ate breakfast
,,0.0,0.0,,0.0,,0.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,,,,nap
,,0.0,0.0,0.0,,,0.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,,,,no sleep last night
2.0,2.0,,,,,,,,2.0,0.0,0.0,0.0,,,,,2.0,,0.0,,2.0,,0.0,2.0,2.0,pilates
,,0.0,0.0,0.0,0.0,,,0.0,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,,,,lots of walking
,,0.0,0.0,0.0,0.0,,0.0,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,,,,climbed stairs
0.0,0.0,,,,,2.0,,,,2.0,2.0,2.0,,,,,0.0,,2.0,,0.0,,2.0,0.0,0.0,vacation
2.0,2.0,,,,,0.0,,,2.0,,0.0,0.0,,,,,2.0,,0.0,,2.0,,0.0,2.0,2.0,housework
2.0,2.0,,,,,0.0,,,2.0,0.0,,0.0,,,,,2.0,,0.0,,2.0,,0.0,2.0,2.0,broken sleep
2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,2.0,2.0,2.0,2.0,1.96689677864,2.0,0.0,2.0,1.14462610924,2.0,0.0,2.0,2.0,Aspirin
,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,,,,slept late
,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,,,,exercise
,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,,,wore bad shoes
,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,,,,Superlong nap
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.96689677864,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.607676393366,0.0,2.0,0.0,0.0,Daytime nap
,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,,benadryl 
2.0,2.0,,,,,0.0,,,2.0,0.0,0.0,0.0,,,,,2.0,,,,2.0,,0.0,2.0,2.0,spent day with others
,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,,,,slept in
0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.14462610924,2.0,2.0,2.0,2.0,0.607676393366,2.0,2.0,2.0,,2.0,2.0,0.0,0.0,walked
,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,,,,,no sleep
2.0,2.0,,,,,0.0,,,2.0,0.0,0.0,0.0,,,,,2.0,,0.0,,2.0,,,2.0,2.0,new environment
0.0,0.0,,,,,2.0,,,0.0,2.0,2.0,2.0,,,,,0.0,,2.0,,0.0,,2.0,,0.0,Late lunch
0.0,0.0,,,,,2.0,,,0.0,2.0,2.0,2.0,,,,,0.0,,2.0,,0.0,,2.0,0.0,,Ate junk food
