Aromatherapy,Acetyl Carnitine,Lithium,Magnesium gel,N-Acelcysteine,Prednisone,Low oxalate,Clonazepam,Ecural,Tylenol 3,Soluble Aspirin,gluten free,DEHA,Methylcobalamine,Trigger Points,antihistamines,Physiotherapy,linseed,Tavegyl,Panamax,rebounding,Cannabis,Nortriptyline,Creatine,Standing desk,Vitamin d,LUSH acne spot-treatment,massage,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aromatherapy
,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,0.0,,,,0.0,,,0.0,0.0,,,,,Acetyl Carnitine
,0.0,,0.0,0.0,,,0.292893218813,,,0.0,,,,,0.0,,0.0,,0.0,,,0.292893218813,0.292893218813,,0.0,,,Lithium
,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,Magnesium gel
,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,0.0,,,,0.0,,,0.0,0.0,,,,,N-Acelcysteine
,0.0,,,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,Prednisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low oxalate
,0.0,0.292893218813,,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,,0.0,0.0,,,,,Clonazepam
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ecural
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tylenol 3
,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,,,Soluble Aspirin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,gluten free
,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEHA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methylcobalamine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trigger Points
,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,0.0,,,0.0,0.0,,,,,antihistamines
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physiotherapy
,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,linseed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tavegyl
,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,,Panamax
,,,,,,,,,,,,,,,,,,,,,,,,,,,,rebounding
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannabis
,0.0,0.292893218813,,0.0,,,0.0,,,0.0,,,,,0.0,,,,0.0,,,,0.0,,,,,Nortriptyline
,0.0,0.292893218813,,0.0,,,0.0,,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,,,Creatine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standing desk
,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,Vitamin d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUSH acne spot-treatment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,massage
