hiking,AM meds,Superlong nap,BeachBody OnDemand,physical therapy,snuggles,Cyclizine,Sunlight,Cold Pack,Florinef,Ritalin,Magnesium glycinate,Hydrocortisone,ate breakfast,5-htp,Solifenacin,Bactrim,Claritin,busy,Prednisolone,Strattera,digestive enzyme,Ingefära,Fludrocortisone,Feverfew,woke up late,dairy,Famotidine,Vitamin b complex,A little stressed,shopping,banana,Probiotic,Nasonex,Vitamin d,very active aqua class,Astelin,TigerBalm,Vitamin C,scary new shit,THC,day at home,Allegra,Klonopin,PeaPure,Singulair,Fish oil,Methylprednisolone,Ginger,Piyo,Montelukast,Vitamin b12,Post-op ice device,Zinc,Ibuprofen,had sex,Melatonin,Passionflower,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hiking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM meds
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Superlong nap
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeachBody OnDemand
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snuggles
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyclizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunlight
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Pack
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Florinef
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritalin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnesium glycinate
