Maxalt,8k steps,slept in,Gardening,11K steps,Cefaly Unit,Physical therapy,10K steps,Pedicure,16K steps,12K Steps,15K steps,new environment,2K steps,alcohol yesterday,holiday,5k steps,Prednisone,row
,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,0.0,,2.0,0.0,0.0,Maxalt
2.0,,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,,2.0,,0.0,2.0,2.0,8k steps
2.0,0.0,,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,,2.0,,0.0,2.0,2.0,slept in
2.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,,2.0,,0.0,2.0,2.0,Gardening
2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,2.0,0.0,2.0,,2.0,,0.0,2.0,2.0,11K steps
0.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,,0.0,,2.0,0.0,0.0,Cefaly Unit
0.0,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,0.0,2.0,0.0,,0.0,,2.0,0.0,0.0,Physical therapy
2.0,0.0,0.0,0.0,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,,2.0,,0.0,2.0,2.0,10K steps
0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,,2.0,0.0,0.0,Pedicure
0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,2.0,0.0,0.0,16K steps
2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,,2.0,,2.0,,0.0,2.0,2.0,12K Steps
0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,,0.0,,2.0,0.0,0.0,15K steps
,,,,,,,,,,,,,,,,,,new environment
0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,,,2.0,0.0,0.0,2K steps
,,,,,,,,,,,,,,,,,,alcohol yesterday
2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,,2.0,,,2.0,2.0,holiday
0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,0.0,,2.0,,0.0,5k steps
0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,0.0,,2.0,0.0,,Prednisone
