didn't really eat lunch,Iron,Superlong nap,Self care,Echinacea,WomenSense AdrenaSense Adrenal Formula,Aromatherapy,Pepto-bismol,had sex,Acetaminophen,Methylcobalamine,ate breakfast,Vitamins,Fexofenadine,Cetirizine hydrochloride,lots of walking,Low oxalate,Farm,Sisu B Calm,Tylenol 3,gluten free,nap,Lymphatic massage,Biotin,DEHA,Woodlock,Gardening,exercise bike,Trigger Points,Buffered Salmon Oil - DHA - EPA,Ate healthy,Calcium citrate,Support worker assistance,Magnesium,Norco,Anakinra,Tavegyl,Folic acid,Curcumin,Wellbutrin,ate well,rebounding,Cetirizine,Quell Unit,Cannabis,shopping,Sertraline,Thyroid-Pro,Valcyte,Migraine herb feverfew tablets,hot,B12 timed release,Vitamin b12,Progressive muscle relaxation,Vitamin e,Vitamin d,AOR Zinc-Copper Balance,Paracetamol,Valtrex,LUSH acne spot-treatment,massage,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,didn't really eat lunch
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,Iron
,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,2.0,,,,,,,,,,0.0,,,Superlong nap
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,Self care
,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,,,Echinacea
,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,,,WomenSense AdrenaSense Adrenal Formula
,,,,,,,,,,0.0,,,,,,0.0,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,0.0,0.0,Aromatherapy
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,Pepto-bismol
,,0.0,,,,,,,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,2.0,,,,,,,,,,0.0,,,had sex
,,,,0.0,0.0,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,,,,,,0.0,,0.0,0.0,,,,,0.0,0.15788663606,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,,,Acetaminophen
,,,,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,0.0,0.0,Methylcobalamine
