neck massage,church,crawled,Church,Daytime nap,benadryl ,Ate poorly,ate breakfast,Ibuprofen,cocodamol,worked,exercise,row
,,,,,0.0,,0.0,,,2.0,0.0,neck massage
,,0.0,0.0,0.0,,0.0,,0.0,2.0,,,church
,0.0,,0.0,0.0,,0.0,,0.0,2.0,,,crawled
,0.0,0.0,,0.0,,0.0,,0.0,2.0,,,Church
,0.0,0.0,0.0,,,0.0,,0.0,2.0,,,Daytime nap
0.0,,,,,,,0.0,,,2.0,0.0,benadryl 
,0.0,0.0,0.0,0.0,,,,0.0,2.0,,,Ate poorly
0.0,,,,,0.0,,,,,2.0,0.0,ate breakfast
,0.0,0.0,0.0,0.0,,0.0,,,2.0,,,Ibuprofen
,2.0,2.0,2.0,2.0,,2.0,,2.0,,,,cocodamol
2.0,,,,,2.0,,2.0,,,,2.0,worked
0.0,,,,,0.0,,0.0,,,2.0,,exercise
