Shoe Insoles,Yoga,Buteyko  breathing exercises ,Vicodin,Prednisone,Diphenhydramine,N-acetyl cysteine,Tensor Band,Benadryl,Mt. Si ACDC 2x Coco Caps,Cefaly Unit,Seasonique,heating pads,Magnesium,Iron,Wristies,Wellbutrin,Maxalt,Flexeril,dexamphetamine,Quell Unit,Sertraline,Thyroid-Pro,Cane to get down stairs,Ibuprofen,Paracetamol,massage,row
,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,2.0,,,,,,,,,,,,Shoe Insoles
,,,2.0,2.0,,,,,,,2.0,,,,,,2.0,,,,,,,2.0,,2.0,Yoga
,,,,,,,,,,,,,,,,,,,,,,,,,,,Buteyko  breathing exercises 
,2.0,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,Vicodin
,2.0,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,Prednisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,Diphenhydramine
0.0,,,,,,,0.0,0.0,0.0,,,0.0,,,2.0,,,,,,,,,,,,N-acetyl cysteine
0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,2.0,,,,,,,,,,,,Tensor Band
0.0,,,,,,0.0,0.0,,0.0,,,0.0,,,2.0,,,,,,,,,,,,Benadryl
0.0,,,,,,0.0,0.0,0.0,,,,0.0,,,2.0,,,,,,,,,,,,Mt. Si ACDC 2x Coco Caps
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Cefaly Unit
,2.0,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,Seasonique
0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,2.0,,,,,,,,,,,,heating pads
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,Magnesium
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,Iron
2.0,,,,,,2.0,2.0,2.0,2.0,,,2.0,,,,,,,,,,,,,,,Wristies
,,,,,,,,,,,,,,,,,,,,,,,,,,,Wellbutrin
,2.0,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,Maxalt
,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Flexeril
,,,,,,,,,,,,,,,,,,,,,,,,,,,dexamphetamine
,,,,,,,,,,,,,,,,,,,,,,,,,,,Quell Unit
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sertraline
,,,,,,,,,,,,,,,,,,,,,,,,,,,Thyroid-Pro
,,,,,,,,,,,,,,,,,,,,,,,,,,,Cane to get down stairs
,2.0,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,0.0,Ibuprofen
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,Paracetamol
,2.0,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,massage
